# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793001.00000000 1006.53021240
0.00100000 4792517.50000000 1581.53076172
0.00200000 4791084.00000000 2371.58666992
0.00300000 4788708.00000000 3447.86987305
0.00400000 4785390.50000000 4306.85156250
0.00500000 4781112.00000000 5163.60107422
0.00600000 4775902.50000000 5014.69775391
0.00700000 4769749.50000000 5723.69970703
0.00800000 4762651.50000000 7715.49560547
0.00900000 4754621.00000000 9271.51171875
0.01000000 4745663.00000000 9396.41308594
0.01100000 4735800.00000000 9376.88476562
0.01200000 4724986.50000000 13820.58593750
0.01300000 4713284.00000000 14846.84472656
0.01400000 4700652.50000000 13749.40917969
0.01500000 4687136.00000000 15748.77734375
0.01600000 4672738.00000000 13107.03027344
0.01700000 4657455.00000000 13832.64160156
0.01800000 4641263.50000000 15873.12207031
0.01900000 4624226.50000000 13872.68066406
0.02000000 4606336.50000000 26117.92968750
0.02100000 4587582.50000000 21194.63281250
0.02200000 4567995.00000000 15759.58398438
0.02300000 4547596.00000000 21282.75000000
0.02400000 4526356.50000000 22065.98828125
0.02500000 4504351.00000000 24593.75585938
0.02600000 4481494.00000000 25410.07226562
0.02700000 4457888.50000000 24340.07226562
0.02800000 4433496.50000000 21214.28125000
0.02900000 4408352.00000000 23805.10156250
0.03000000 4382475.00000000 22416.36132812
0.03100000 4355859.50000000 29271.37695312
0.03200000 4328527.50000000 23568.83398438
0.03300000 4300504.50000000 24125.83007812
0.03400000 4271798.00000000 22426.94140625
0.03500000 4242414.50000000 22909.03906250
0.03600000 4212354.50000000 25716.42578125
0.03700000 4181685.75000000 26219.16992188
0.03800000 4150372.00000000 29135.61328125
0.03900000 4118466.00000000 29652.95507812
0.04000000 4085945.75000000 40205.70703125
0.04100000 4052868.75000000 30639.68945312
0.04200000 4019220.00000000 25923.97070312
0.04300000 3985038.25000000 26301.25390625
0.04400000 3950318.75000000 31997.58398438
0.04500000 3915100.25000000 35118.44921875
0.04600000 3879375.25000000 41024.39843750
0.04700000 3843209.50000000 35972.44140625
0.04800000 3806563.25000000 33573.88671875
0.04900000 3769484.00000000 28271.13085938
0.05000000 3731990.25000000 42824.58984375
0.05100000 3694096.75000000 51865.12109375
0.05200000 3655816.25000000 29063.74023438
0.05300000 3617171.25000000 29299.08789062
0.05400000 3578179.25000000 32471.97656250
0.05500000 3538863.50000000 41617.03906250
0.05600000 3499242.25000000 32910.37500000
0.05700000 3459331.00000000 36115.41796875
0.05800000 3419127.50000000 45388.91796875
0.05900000 3378688.50000000 36489.83984375
0.06000000 3338010.50000000 36651.35546875
0.06100000 3297108.75000000 45994.67187500
0.06200000 3256020.00000000 49231.02343750
0.06300000 3214747.75000000 30861.57812500
0.06400000 3173296.50000000 30939.64257812
0.06500001 3131717.50000000 40305.20703125
0.06600000 3090018.75000000 34160.15625000
0.06700000 3048197.75000000 37309.94140625
0.06800000 3006302.75000000 40449.80468750
0.06900001 2964316.25000000 56025.58203125
0.07000000 2922284.75000000 34234.56640625
0.07100000 2880199.75000000 34216.77343750
0.07200000 2838106.75000000 31077.27148438
0.07300001 2796003.25000000 40346.33203125
0.07400000 2753945.50000000 49571.01953125
0.07500000 2711888.75000000 49464.85156250
0.07600001 2669875.25000000 40088.17968750
0.07700001 2627929.75000000 52269.52734375
0.07800000 2586074.00000000 33709.47656250
0.07900000 2544295.25000000 33584.69921875
0.08000001 2502638.50000000 33447.76562500
0.08100000 2461103.50000000 45407.35937500
0.08200000 2419710.00000000 36150.46875000
0.08300000 2378471.25000000 56940.60546875
0.08400001 2337384.75000000 35761.98828125
0.08500000 2296510.00000000 29624.97851562
0.08600000 2255813.75000000 41213.71875000
0.08700000 2215339.75000000 32166.73437500
0.08800001 2175084.25000000 29037.37695312
0.08900000 2135063.00000000 34588.01953125
0.09000000 2095302.75000000 42901.32421875
0.09100001 2055787.50000000 28369.86914062
0.09200001 2016553.75000000 33757.11328125
0.09300000 1977617.00000000 33461.28125000
0.09400000 1938962.50000000 33156.26171875
0.09500001 1900617.37500000 41053.33984375
0.09600000 1862600.37500000 37941.17187500
0.09700000 1824909.62500000 34874.02343750
0.09800000 1787557.00000000 26545.22265625
0.09900001 1750563.50000000 42013.52734375
0.10000000 1713908.00000000 28562.27734375
0.10100000 1677625.25000000 38501.50000000
0.10200001 1641731.75000000 45656.56250000
0.10300001 1606213.25000000 35079.69921875
0.10400000 1571083.75000000 27219.02734375
0.10500000 1536359.37500000 29313.73828125
0.10600001 1502035.87500000 38572.28515625
0.10700001 1468130.62500000 38053.94921875
0.10800000 1434644.75000000 28147.73046875
0.10900000 1401573.62500000 30063.75585938
0.11000001 1368942.75000000 29630.76757812
0.11100001 1336748.62500000 22457.37890625
0.11200000 1304993.62500000 26543.57031250
0.11300001 1273679.50000000 23957.91210938
0.11400001 1242820.87500000 27870.25976562
0.11500000 1212420.50000000 23205.72851562
0.11600000 1182466.12500000 24902.73828125
0.11700001 1152981.62500000 22448.55273438
0.11800001 1123956.75000000 22068.89257812
0.11900000 1095391.12500000 21688.74414062
0.12000000 1067302.25000000 23245.84375000
0.12100001 1039684.62500000 20928.85351562
0.12200001 1012538.93750000 26153.88281250
0.12300000 985857.12500000 29339.10937500
0.12400001 959653.43750000 23391.55273438
0.12500000 933924.93750000 22946.53515625
0.12600000 908676.18750000 24234.39453125
0.12700000 883891.62500000 18667.79101562
0.12800001 859588.81250000 19959.65234375
0.12900001 835753.87500000 16297.20117188
0.13000001 812394.68750000 20752.62304688
0.13100001 789503.12500000 17195.37890625
0.13200000 767085.00000000 19894.34960938
0.13300000 745137.18750000 19470.43554688
0.13400000 723651.62500000 14653.94531250
0.13500001 702630.50000000 21500.49414062
0.13600001 682070.81250000 21024.83398438
0.13700001 661969.50000000 16443.32421875
0.13800001 642325.25000000 13392.48242188
0.13900001 623135.25000000 24863.09960938
0.14000000 604393.25000000 15339.50097656
0.14100000 586094.93750000 14980.58691406
0.14200000 568239.75000000 19501.98828125
0.14300001 550825.62500000 14277.40039062
0.14400001 533836.50000000 12772.03906250
0.14500001 517281.46875000 12461.31152344
0.14600001 501153.81250000 17680.70898438
0.14700000 485444.53125000 11854.55566406
0.14800000 470150.50000000 16812.58203125
0.14900000 455262.71875000 13316.43457031
0.15000001 440783.12500000 11980.48535156
0.15100001 426702.50000000 12647.46289062
0.15200001 413016.06250000 11374.46289062
0.15300001 399721.00000000 13850.33398438
0.15400001 386803.71875000 14389.09960938
0.15500000 374266.65625000 9633.62402344
0.15600000 362097.65625000 10232.87988281
0.15700001 350299.50000000 11622.93750000
0.15800001 338853.71875000 8081.66162109
0.15900001 327764.93750000 8652.99511719
0.16000001 317019.62500000 9187.22949219
0.16100001 306619.40625000 9686.10742188
0.16200000 296550.46875000 9425.85644531
0.16300000 286811.71875000 7761.12500000
0.16400000 277393.03125000 6865.47753906
0.16500001 268289.53125000 9352.57324219
0.16600001 259493.65625000 6500.31640625
0.16700001 250996.73437500 13282.74804688
0.16800001 242797.15625000 9232.36230469
0.16900001 234889.46875000 7786.58642578
0.17000000 227260.17187500 6995.06835938
0.17100000 219909.26562500 7375.75683594
0.17200001 212825.59375000 7179.67187500
0.17300001 206004.07812500 8065.06005859
0.17400001 199440.04687500 5235.30175781
0.17500001 193126.21875000 6628.09228516
0.17600001 187049.95312500 6456.02978516
0.17700000 181216.78125000 5806.18554688
0.17800000 175607.84375000 5186.57763672
0.17900001 170225.68750000 6434.53125000
0.18000001 165062.39062500 4929.58837891
0.18100001 160111.43750000 6556.56347656
0.18200001 155360.82812500 4264.65478516
0.18300001 150810.84375000 5411.09326172
0.18400002 146454.40625000 6908.98730469
0.18500000 142284.23437500 6351.56835938
0.18600000 138293.51562500 4267.04638672
0.18700001 134478.25000000 4929.97265625
0.18800001 130830.70312500 3709.05053711
0.18900001 127351.20312500 3992.46044922
0.19000001 124022.70312500 4263.90087891
0.19100001 120852.44531250 5220.82617188
0.19200000 117824.16406250 5116.51416016
0.19300000 114941.43750000 3679.27539062
0.19400001 112190.66406250 3281.57690430
0.19500001 109573.53906250 3221.46215820
0.19600001 107080.25000000 4113.48779297
0.19700001 104708.03125000 3420.81152344
0.19800001 102451.54687500 3058.17895508
0.19900002 100307.64843750 3611.07568359
0.20000000 98267.57031250  3259.04394531
0.20100001 96332.01562500  3210.74609375
0.20200001 94491.60937500  3452.72363281
0.20300001 92745.63281250  3405.61987305
0.20400001 91087.72656250  3081.04248047
0.20500001 89515.16406250  2766.01879883
0.20600002 88021.81250000  4099.61621094
0.20700002 86605.53125000  4593.55761719
0.20800000 85261.95312500  3474.85107422
0.20900001 83990.28125000  2645.69384766
0.21000001 82781.00000000  3668.02636719
0.21100001 81635.21093750  2855.59985352
0.21200001 80547.52343750  3088.19213867
0.21300001 79514.57812500  3573.38549805
0.21400002 78534.70312500  3292.56762695
0.21500000 77606.36718750  2765.89086914
0.21600001 76720.71875000  3496.16333008
0.21700001 75881.54687500  3225.72460938
0.21800001 75081.43750000  2959.71044922
0.21900001 74318.13281250  2697.74829102
0.22000001 73591.58593750  2439.56127930
0.22100002 72900.18750000  2913.09179688
0.22200002 72238.42187500  2899.65039062
0.22300000 71604.92187500  2405.92553711
0.22400001 70997.03125000  3354.60986328
0.22500001 70417.07812500  2864.56689453
0.22600001 69856.40625000  2854.33300781
0.22700001 69318.84375000  2844.84545898
0.22800002 68799.89062500  2599.60400391
0.22900002 68297.43750000  2591.88793945
0.23000000 67811.10156250  3054.55102539
0.23100001 67340.33593750  3046.47680664
0.23200001 66881.43750000  2571.25683594
0.23300001 66435.07031250  3730.99365234
0.23400001 66000.01562500  2559.15063477
0.23500001 65571.22656250  2321.22167969
0.23600002 65153.14843750  2779.43359375
0.23700002 64741.98437500  3929.19140625
0.23800001 64337.18359375  3229.08325195
0.23900001 63937.42187500  3452.62084961
0.24000001 63542.35937500  2526.76196289
0.24100001 63152.54687500  2750.92504883
0.24200001 62766.36328125  2745.40087891
0.24300002 62381.60546875  3196.43359375
0.24400002 61999.35156250  3417.71459961
0.24500000 61619.00390625  2501.11547852
0.24600001 61239.90234375  2722.72607422
0.24700001 60862.31640625  2490.48608398
0.24800001 60485.14843750  2485.03247070
0.24900001 60107.20703125  2704.82446289
0.25000000 59730.79687500  2473.75097656
0.25100002 59352.96875000  3589.66772461
0.25200000 58977.28906250  2685.82568359
0.25300002 58599.45312500  3348.95898438
0.25400001 58222.39843750  2449.70751953
0.25500003 57844.13281250  2443.33642578
0.25600001 57466.19531250  3322.98291016
0.25700000 57086.83984375  2651.11279297
0.25800002 56708.10156250  2864.04296875
0.25900000 56329.26562500  2416.52563477
0.26000002 55950.50390625  2628.55493164
0.26100001 55570.63281250  2183.92602539
0.26200002 55192.45703125  2612.81127930
0.26300001 54813.00781250  2387.65478516
0.26400000 54435.32421875  2596.56494141
0.26500002 54058.12500000  3451.07080078
0.26600000 53681.64453125  2149.94995117
0.26700002 53307.76562500  2142.97241211
0.26800001 52935.23828125  2135.93701172
0.26900002 52563.28906250  2128.81347656
0.27000001 52194.90234375  2546.06738281
0.27100003 51827.56250000  2537.47778320
0.27200001 51465.52343750  3161.27001953
0.27300000 51103.98046875  2100.37353516
0.27400002 50744.57031250  2930.49902344
0.27500001 50391.93359375  2086.22607422
0.27600002 50040.21484375  2910.83959961
0.27700001 49694.79296875  2072.27294922
0.27800003 49353.12890625  2271.97143555
0.27900001 49016.02734375  2470.40795898
0.28000000 48684.01562500  2462.43750000
0.28100002 48357.20312500  2454.61181641
0.28200001 48036.40625000  2650.88916016
0.28300002 47721.50781250  3049.40454102
0.28400001 47412.00781250  2634.92236328
0.28500003 47110.04296875  2425.22534180
0.28600001 46813.96484375  2216.87548828
0.28700000 46524.08203125  2009.84033203
0.28800002 46242.27734375  2205.06323242
0.28900000 45967.92187500  3199.36743164
0.29000002 45700.40625000  2194.30517578
0.29100001 45441.44531250  1990.33532715
0.29200003 45190.05859375  2184.71362305
0.29300001 44947.42968750  2576.83618164
0.29400000 44711.38281250  1978.47863770
0.29500002 44485.17578125  2370.17041016
0.29600000 44267.01953125  2563.72436523
0.29700002 44056.74609375  1969.33666992
0.29800001 43856.27343750  2163.64941406
0.29900002 43664.63671875  1964.90881348
0.30000001 43481.51562500  2159.50952148
0.30100003 43307.56640625  2550.38281250
0.30200002 43142.14843750  2549.05395508
0.30300000 42986.84375000  3332.34008789
0.30400002 42840.13281250  2939.90429688
0.30500001 42701.92187500  2156.02001953
0.30600002 42572.67187500  2548.61328125
0.30700001 42453.75781250  1961.36364746
0.30800003 42343.25390625  2551.39306641
0.30900002 42241.67968750  2160.66210938
0.31000000 42148.58984375  3539.21704102
0.31100002 42064.80078125  2559.22265625
0.31200001 41989.80078125  1971.42114258
0.31300002 41923.65625000  1974.60437012
0.31400001 41865.87500000  2373.79516602
0.31500003 41816.09765625  2180.29150391
0.31600001 41775.07031250  1986.40466309
0.31700000 41742.46875000  2190.22729492
0.31800002 41716.67968750  1996.14318848
0.31900001 41701.08203125  2201.81713867
0.32000002 41691.51562500  3011.16992188
0.32100001 41689.53906250  3423.12817383
0.32200003 41695.43359375  3030.21582031
0.32300001 41707.45312500  3648.56811523
0.32400000 41727.10546875  2034.19641113
0.32500002 41753.12109375  2450.07324219
0.32600001 41784.91796875  2049.55029297
0.32700002 41823.79296875  3292.36914062
0.32800001 41869.14453125  2272.86645508
0.32900003 41919.07812500  2282.49389648
0.33000001 41975.30468750  2709.29614258
0.33100003 42035.61718750  2930.72338867
0.33200002 42102.41015625  2944.22167969
0.33300000 42173.30859375  2535.45922852
0.33400002 42248.21875000  2759.86499023
0.33500001 42327.51171875  2773.29858398
0.33600003 42410.46484375  2787.00390625
0.33700001 42497.08203125  2154.60205078
0.33800003 42587.26953125  3031.78808594
0.33900002 42680.33203125  2394.36669922
0.34000000 42775.55078125  3063.15722656
0.34100002 42873.38281250  2859.22607422
0.34200001 42974.63281250  3095.46289062
0.34300002 43076.42187500  2222.74340820
0.34400001 43181.49609375  2458.10668945
