# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793015.00000000 1006.53314209
0.00100000 4792514.00000000 1581.52966309
0.00200000 4791003.00000000 2371.54663086
0.00300000 4788469.00000000 3447.69775391
0.00400000 4784955.00000000 4306.45947266
0.00500000 4780436.00000000 5162.87109375
0.00600000 4774914.00000000 5013.65966797
0.00700000 4768435.00000000 5722.12207031
0.00800000 4760945.00000000 7712.73144531
0.00900000 4752467.00000000 9267.31152344
0.01000000 4742974.50000000 9391.08984375
0.01100000 4732551.50000000 9370.45312500
0.01200000 4721120.00000000 13809.27636719
0.01300000 4708760.50000000 14832.59570312
0.01400000 4695452.00000000 13734.19726562
0.01500000 4681212.00000000 15728.87304688
0.01600000 4666002.00000000 13088.13574219
0.01700000 4649904.00000000 13810.21582031
0.01800000 4632851.00000000 15844.35156250
0.01900000 4614930.50000000 13844.79199219
0.02000000 4596117.00000000 26059.98437500
0.02100000 4576393.00000000 21142.93750000
0.02200000 4555822.00000000 15717.58691406
0.02300000 4534399.00000000 21220.98828125
0.02400000 4512120.50000000 21996.58789062
0.02500000 4489004.00000000 24509.96289062
0.02600000 4465054.50000000 25316.85937500
0.02700000 4440350.00000000 24244.31250000
0.02800000 4414817.00000000 21124.90039062
0.02900000 4388562.00000000 23698.23632812
0.03000000 4361529.50000000 22309.22460938
0.03100000 4333755.00000000 29122.83398438
0.03200000 4305263.50000000 23442.16015625
0.03300000 4276076.50000000 23988.78906250
0.03400000 4246197.00000000 22292.53515625
0.03500000 4215647.00000000 22764.49414062
0.03600000 4184472.75000000 25546.20703125
0.03700000 4152642.50000000 26037.06835938
0.03800000 4120198.75000000 28923.79687500
0.03900000 4087178.50000000 29427.68554688
0.04000000 4053552.25000000 39886.95703125
0.04100000 4019367.00000000 30386.41601562
0.04200000 3984672.50000000 25701.13867188
0.04300000 3949450.50000000 26066.37500000
0.04400000 3913719.50000000 31701.13085938
0.04500000 3877518.50000000 34781.34375000
0.04600000 3840852.00000000 40617.01171875
0.04700000 3803763.50000000 35603.22656250
0.04800000 3766249.25000000 33218.32031250
0.04900000 3728322.50000000 27962.41992188
0.05000000 3690033.75000000 42343.13671875
0.05100000 3651383.25000000 51265.42187500
0.05200000 3612396.00000000 28718.54882812
0.05300000 3573100.00000000 28942.11132812
0.05400000 3533495.25000000 32066.47070312
0.05500000 3493613.25000000 41084.89453125
0.05600000 3453480.00000000 32479.98046875
0.05700000 3413119.50000000 35632.96875000
0.05800000 3372526.75000000 44770.29296875
0.05900000 3331736.00000000 35982.75000000
0.06000000 3290793.25000000 36132.91015625
0.06100000 3249668.50000000 45332.87890625
0.06200000 3208428.50000000 48511.44140625
0.06300000 3167054.00000000 30403.71875000
0.06400000 3125584.50000000 30474.45117188
0.06500001 3084025.75000000 39691.41406250
0.06600000 3042431.25000000 33634.07812500
0.06700000 3000761.25000000 36729.32031250
0.06800000 2959093.25000000 39814.60156250
0.06900001 2917409.25000000 55139.03906250
0.07000000 2875748.50000000 33689.39453125
0.07100000 2834084.75000000 33668.92968750
0.07200000 2792487.25000000 30577.73632812
0.07300001 2750955.50000000 39696.29296875
0.07400000 2709501.75000000 48771.03125000
0.07500000 2668140.00000000 48666.87500000
0.07600001 2626894.25000000 39442.82031250
0.07700001 2585770.00000000 51430.96875000
0.07800000 2544795.75000000 33171.41406250
0.07900000 2503969.75000000 33052.40234375
0.08000001 2463321.75000000 32922.29687500
0.08100000 2422855.00000000 44701.67578125
0.08200000 2382589.50000000 35595.88671875
0.08300000 2342541.75000000 56080.45312500
0.08400001 2302729.00000000 35231.75781250
0.08500000 2263139.50000000 29194.50000000
0.08600000 2223813.75000000 40629.07812500
0.08700000 2184747.00000000 31722.52734375
0.08800001 2145953.50000000 28648.48242188
0.08900000 2107443.50000000 34140.58593750
0.09000000 2069227.12500000 42367.42578125
0.09100001 2031328.75000000 28032.33789062
0.09200001 1993745.00000000 33375.29296875
0.09300000 1956495.00000000 33103.89453125
0.09400000 1919579.87500000 32824.81640625
0.09500001 1883001.00000000 40672.82421875
0.09600000 1846794.37500000 37619.20312500
0.09700000 1810935.75000000 34606.98437500
0.09800000 1775449.50000000 26365.42578125
0.09900001 1740353.37500000 41768.48437500
0.10000000 1705620.87500000 28424.17187500
0.10100000 1671284.37500000 38355.97656250
0.10200001 1637349.12500000 45534.67968750
0.10300001 1603814.50000000 35027.31250000
0.10400000 1570679.12500000 27212.01562500
0.10500000 1537960.50000000 29344.28710938
0.10600001 1505654.50000000 38665.21093750
0.10700001 1473770.25000000 38200.12890625
0.10800000 1442313.87500000 28298.19921875
0.10900000 1411282.87500000 30272.01953125
0.11000001 1380675.50000000 29884.72265625
0.11100001 1350508.50000000 22688.54492188
0.11200000 1320777.62500000 26864.61718750
0.11300001 1291476.62500000 24292.67578125
0.11400001 1262620.62500000 28314.26953125
0.11500000 1234211.62500000 23622.81054688
0.11600000 1206236.37500000 25403.33984375
0.11700001 1178711.62500000 22949.51562500
0.11800001 1151624.75000000 22612.15429688
0.11900000 1124971.75000000 22274.44140625
0.12000000 1098770.12500000 23931.21484375
0.12100001 1073015.75000000 21599.80859375
0.12200001 1047692.87500000 27061.90820312
0.12300000 1022819.43750000 30439.10742188
0.12400001 998381.37500000 24335.54687500
0.12500000 974382.31250000 23940.57421875
0.12600000 950818.75000000 25358.33593750
0.12700000 927692.12500000 19592.85742188
0.12800001 904997.31250000 21014.03906250
0.12900001 882728.31250000 17213.20312500
0.13000001 860889.75000000 21991.42968750
0.13100001 839476.25000000 18283.79492188
0.13200000 818481.12500000 21227.30859375
0.13300000 797908.62500000 20849.35351562
0.13400000 777750.00000000 15749.43750000
0.13500001 758003.68750000 23194.91406250
0.13600001 738661.56250000 22769.24414062
0.13700001 719725.68750000 17877.98632812
0.13800001 701191.37500000 14619.84179688
0.13900001 683055.56250000 27253.91992188
0.14000000 665307.06250000 16885.49414062
0.14100000 647945.31250000 16561.48242188
0.14200000 630968.50000000 21654.83984375
0.14300001 614373.31250000 15924.55664062
0.14400001 598142.25000000 14310.55371094
0.14500001 582291.56250000 14027.40429688
0.14600001 566803.12500000 19996.81640625
0.14700000 551671.37500000 13471.81542969
0.14800000 536893.50000000 19199.31250000
