# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793008.50000000 1006.53179932
0.00100000 4792482.50000000 1581.51928711
0.00200000 4790904.00000000 2371.49755859
0.00300000 4788282.00000000 3447.56298828
0.00400000 4784643.00000000 4306.17871094
0.00500000 4779914.00000000 5162.30761719
0.00600000 4774184.00000000 5012.89306641
0.00700000 4767456.50000000 5720.94775391
0.00800000 4759655.00000000 7710.64160156
0.00900000 4750834.00000000 9264.12695312
0.01000000 4740978.00000000 9387.13671875
0.01100000 4730105.50000000 9365.60937500
0.01200000 4718259.00000000 13800.90722656
0.01300000 4705414.50000000 14822.05566406
0.01400000 4691568.00000000 13722.83691406
0.01500000 4676774.50000000 15713.96289062
0.01600000 4660989.00000000 13074.07519531
0.01700000 4644239.50000000 13793.39160156
0.01800000 4626573.50000000 15822.88183594
0.01900000 4607974.50000000 13823.92480469
0.02000000 4588421.50000000 26016.35156250
0.02100000 4567971.50000000 21104.02929688
0.02200000 4546629.50000000 15685.87304688
0.02300000 4524411.00000000 21174.24609375
0.02400000 4501300.50000000 21943.83984375
0.02500000 4477350.50000000 24446.33398438
0.02600000 4452585.50000000 25246.16015625
0.02700000 4426980.00000000 24171.31054688
0.02800000 4400566.50000000 21056.71093750
0.02900000 4373387.50000000 23616.29296875
0.03000000 4345438.00000000 22226.91601562
0.03100000 4316738.50000000 29008.48437500
0.03200000 4287268.00000000 23344.17578125
0.03300000 4257111.50000000 23882.39453125
0.03400000 4226254.50000000 22187.83789062
0.03500000 4194727.00000000 22651.52539062
0.03600000 4162557.50000000 25412.41406250
0.03700000 4129741.75000000 25893.48046875
0.03800000 4096298.00000000 28756.01367188
0.03900000 4062268.25000000 29248.33203125
0.04000000 4027644.00000000 39632.01953125
0.04100000 3992481.25000000 30183.15820312
0.04200000 3956768.50000000 25521.15820312
0.04300000 3920553.50000000 25875.65429688
0.04400000 3883842.75000000 31459.12890625
0.04500000 3846675.00000000 34504.67578125
0.04600000 3809039.00000000 40280.58984375
0.04700000 3770985.75000000 35296.42968750
0.04800000 3732518.50000000 32920.81250000
0.04900000 3693684.50000000 27702.63476562
0.05000000 3654462.25000000 41934.95312500
0.05100000 3614915.25000000 50753.41406250
0.05200000 3575047.75000000 28421.63085938
0.05300000 3534873.50000000 28632.47656250
0.05400000 3494424.25000000 31711.90039062
0.05500000 3453723.50000000 40615.78906250
0.05600000 3412766.00000000 32097.06445312
0.05700000 3371625.25000000 35199.76953125
0.05800000 3330287.25000000 44209.56640625
0.05900000 3288775.25000000 35518.77343750
0.06000000 3247091.25000000 35653.06250000
0.06100000 3205302.00000000 44713.96484375
0.06200000 3163396.25000000 47830.55468750
0.06300000 3121399.25000000 29965.43359375
0.06400000 3079331.75000000 30023.48632812
0.06500001 3037217.75000000 39088.99609375
0.06600000 2995063.25000000 33110.42578125
0.06700000 2952891.75000000 36143.39453125
0.06800000 2910737.50000000 39163.97656250
0.06900001 2868614.00000000 54216.80859375
0.07000000 2826521.00000000 33112.69531250
0.07100000 2784495.50000000 33079.80859375
0.07200000 2742524.50000000 30030.64453125
0.07300001 2700678.75000000 38970.79687500
0.07400000 2658942.25000000 47860.96093750
0.07500000 2617318.25000000 47739.88671875
0.07600001 2575842.75000000 38676.28125000
0.07700001 2534516.00000000 50411.52734375
0.07800000 2493388.25000000 32501.31640625
0.07900000 2452441.50000000 32372.22851562
0.08000001 2411681.50000000 32232.12500000
0.08100000 2371161.25000000 43747.92578125
0.08200000 2330874.25000000 34823.26171875
0.08300000 2290814.75000000 54842.10937500
0.08400001 2251022.75000000 34440.65234375
0.08500000 2211487.25000000 28528.18554688
0.08600000 2172242.25000000 39686.86718750
0.08700000 2133285.00000000 30975.30078125
0.08800001 2094645.37500000 27963.51757812
0.08900000 2056290.62500000 33311.91015625
0.09000000 2018288.12500000 41324.44921875
0.09100001 1980613.37500000 27332.46679688
0.09200001 1943280.25000000 32530.51367188
0.09300000 1906295.00000000 32254.51171875
0.09400000 1869676.12500000 31971.46289062
0.09500001 1833425.12500000 39601.98437500
0.09600000 1797549.62500000 36616.08593750
0.09700000 1762062.25000000 33673.01171875
0.09800000 1726951.75000000 25645.23437500
0.09900001 1692244.87500000 40613.87890625
0.10000000 1657947.87500000 27629.70117188
0.10100000 1624040.12500000 37271.72265625
0.10200001 1590556.50000000 44233.37890625
0.10300001 1557486.12500000 34015.50000000
0.10400000 1524842.50000000 26417.89648438
0.10500000 1492624.87500000 28479.28320312
0.10600001 1460816.25000000 37513.76171875
0.10700001 1429461.12500000 37051.63671875
0.10800000 1398531.87500000 27439.19531250
0.10900000 1368036.25000000 29344.37890625
0.11000001 1337988.37500000 28960.75976562
0.11100001 1308372.62500000 21980.66210938
0.11200000 1279198.50000000 26018.89843750
0.11300001 1250469.75000000 23521.33789062
0.11400001 1222188.75000000 27407.58398438
0.11500000 1194351.75000000 22859.89257812
0.11600000 1166960.12500000 24576.18164062
0.11700001 1140004.00000000 22195.87890625
0.11800001 1113497.00000000 21863.51562500
0.11900000 1087428.87500000 21531.09179688
0.12000000 1061803.62500000 23126.08398438
0.12100001 1036625.50000000 20867.27343750
0.12200001 1011880.31250000 26136.87109375
0.12300000 987572.31250000 29390.15234375
0.12400001 963704.43750000 23490.29687500
0.12500000 940259.50000000 23102.17578125
0.12600000 917254.43750000 24463.17578125
0.12700000 894676.37500000 18895.56640625
0.12800001 872523.62500000 20260.00000000
0.12900001 850794.50000000 16590.49414062
0.13000001 829481.00000000 21189.09375000
0.13100001 808589.00000000 17611.07031250
0.13200000 788103.62500000 20439.46679688
0.13300000 768032.93750000 20068.70117188
0.13400000 748361.56250000 15154.32226562
0.13500001 729096.68750000 22310.35937500
0.13600001 710223.06250000 21892.62695312
0.13700001 691748.81250000 17183.04101562
0.13800001 673660.93750000 14045.83203125
0.13900001 655959.50000000 26172.78710938
0.14000000 638637.50000000 16208.62011719
0.14100000 621691.37500000 15890.43164062
0.14200000 605117.06250000 20767.61914062
0.14300001 588907.87500000 15264.49316406
0.14400001 573056.18750000 13710.37011719
0.14500001 557569.75000000 13431.85644531
0.14600001 542429.43750000 19136.91210938
0.14700000 527643.06250000 12885.04394531
0.14800000 513188.50000000 18351.62109375
0.14900000 499080.00000000 14598.09082031
0.15000001 485300.87500000 13190.47851562
