# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793005.50000000 1006.53112793
0.00100000 4792455.50000000 1581.51037598
0.00200000 4790810.00000000 2371.45092773
0.00300000 4788080.50000000 3447.41796875
0.00400000 4784321.50000000 4305.88964844
0.00500000 4779426.50000000 5161.78076172
0.00600000 4773486.00000000 5012.16015625
0.00700000 4766469.50000000 5719.76367188
0.00800000 4758356.50000000 7708.53808594
0.00900000 4749216.00000000 9260.97167969
0.01000000 4738970.00000000 9383.16113281
0.01100000 4727712.00000000 9360.87011719
0.01200000 4715396.50000000 13792.53515625
0.01300000 4702089.00000000 14811.58105469
0.01400000 4687736.00000000 13711.62792969
0.01500000 4672367.00000000 15699.15332031
0.01600000 4656005.00000000 13060.09472656
0.01700000 4638665.50000000 13776.83691406
0.01800000 4620344.50000000 15801.57910156
0.01900000 4601041.00000000 13803.12402344
0.02000000 4580789.00000000 25973.07617188
0.02100000 4559625.00000000 21065.46875000
0.02200000 4537499.50000000 15654.37402344
0.02300000 4514454.50000000 21127.64843750
0.02400000 4490524.50000000 21891.30664062
0.02500000 4465743.50000000 24382.95898438
0.02600000 4440094.00000000 25175.33398438
0.02700000 4413601.50000000 24098.26562500
0.02800000 4386265.00000000 20988.27929688
0.02900000 4358152.50000000 23534.02343750
0.03000000 4329245.00000000 22144.08984375
0.03100000 4299556.50000000 28893.02148438
0.03200000 4269128.50000000 23245.40625000
0.03300000 4237973.50000000 23775.03125000
0.03400000 4206108.50000000 22082.07031250
0.03500000 4173589.25000000 22537.38281250
0.03600000 4140362.75000000 25276.91601562
0.03700000 4106496.25000000 25747.73242188
0.03800000 4072001.50000000 28585.45312500
0.03900000 4036904.75000000 29065.71484375
0.04000000 4001245.00000000 39372.25390625
0.04100000 3964995.75000000 29975.36914062
0.04200000 3928237.50000000 25337.13281250
0.04300000 3890945.00000000 25680.23828125
0.04400000 3853176.00000000 31210.72851562
0.04500000 3814926.75000000 34219.89453125
0.04600000 3776230.00000000 39933.63671875
0.04700000 3737107.50000000 34979.32812500
0.04800000 3697595.00000000 32612.78906250
0.04900000 3657705.00000000 27432.78906250
0.05000000 3617459.00000000 41510.34375000
0.05100000 3576872.00000000 50219.28515625
0.05200000 3535977.25000000 28111.01953125
0.05300000 3494795.75000000 28307.84765625
0.05400000 3453351.50000000 31339.16601562
0.05500000 3411678.50000000 40121.33984375
0.05600000 3369756.50000000 31692.56054688
0.05700000 3327657.75000000 34740.75000000
0.05800000 3285372.25000000 43613.31640625
0.05900000 3242940.25000000 35023.75781250
0.06000000 3200362.00000000 35139.97656250
0.06100000 3157693.25000000 44049.82421875
0.06200000 3114929.25000000 47097.73046875
0.06300000 3072096.00000000 29492.12109375
0.06400000 3029212.50000000 29534.82421875
0.06500001 2986297.25000000 38433.64843750
0.06600000 2943373.50000000 32538.99414062
0.06700000 2900464.50000000 35501.68750000
0.06800000 2857589.00000000 38448.86328125
0.06900001 2814738.25000000 53198.55859375
0.07000000 2771987.75000000 32473.83593750
0.07100000 2729315.25000000 32424.26562500
0.07200000 2686750.50000000 29419.91992188
0.07300001 2644276.25000000 38156.91015625
0.07400000 2601982.00000000 46835.67578125
0.07500000 2559824.50000000 46691.19921875
0.07600001 2517847.00000000 37805.47656250
0.07700001 2476052.25000000 49248.68359375
0.07800000 2434459.25000000 31733.17773438
0.07900000 2393095.75000000 31588.86523438
0.08000001 2351943.75000000 31433.73046875
0.08100000 2311062.75000000 42639.10937500
0.08200000 2270434.50000000 33920.29296875
0.08300000 2230077.75000000 53388.06250000
0.08400001 2189993.50000000 33506.90234375
0.08500000 2150234.75000000 27738.02929688
0.08600000 2110779.75000000 38563.94921875
0.08700000 2071631.62500000 30080.09375000
0.08800001 2032819.62500000 27138.14453125
0.08900000 1994362.75000000 32308.67773438
0.09000000 1956257.75000000 40054.37890625
0.09100001 1918520.00000000 26475.57812500
