# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793044.50000000 1006.53936768
0.00100000 4792527.00000000 1581.53393555
0.00200000 4790919.50000000 2371.50512695
0.00300000 4788283.00000000 3447.56372070
0.00400000 4784602.50000000 4306.14257812
0.00500000 4779854.50000000 5162.24316406
0.00600000 4774130.50000000 5012.83691406
0.00700000 4767317.00000000 5720.78076172
0.00800000 4759512.50000000 7710.41064453
0.00900000 4750636.50000000 9263.74121094
0.01000000 4740708.00000000 9386.60253906
0.01100000 4729809.50000000 9365.02343750
0.01200000 4717900.50000000 13799.85937500
0.01300000 4704993.00000000 14820.72851562
0.01400000 4691101.50000000 13721.47265625
0.01500000 4676239.50000000 15712.16503906
0.01600000 4660381.50000000 13072.37109375
0.01700000 4643562.50000000 13791.38085938
0.01800000 4625838.50000000 15820.36816406
0.01900000 4607146.50000000 13821.44042969
0.02000000 4587525.00000000 26011.26757812
0.02100000 4567001.50000000 21099.54882812
0.02200000 4545565.50000000 15682.20214844
0.02300000 4523238.50000000 21168.75781250
0.02400000 4500074.50000000 21937.86328125
0.02500000 4476013.50000000 24439.03320312
0.02600000 4451130.00000000 25237.90820312
0.02700000 4425433.50000000 24162.86718750
0.02800000 4398952.50000000 21048.98828125
0.02900000 4371711.50000000 23607.24218750
0.03000000 4343632.50000000 22217.68164062
0.03100000 4314833.50000000 28995.68164062
0.03200000 4285317.00000000 23333.55273438
0.03300000 4255069.50000000 23870.93945312
0.03400000 4224127.00000000 22176.66796875
0.03500000 4192550.75000000 22639.77343750
0.03600000 4160284.00000000 25398.53515625
0.03700000 4127378.00000000 25878.66015625
0.03800000 4093867.00000000 28738.94726562
0.03900000 4059768.25000000 29230.33203125
0.04000000 4025077.75000000 39606.76953125
0.04100000 3989859.25000000 30163.33593750
0.04200000 3954101.00000000 25503.95312500
0.04300000 3917830.50000000 25857.68164062
0.04400000 3881064.25000000 31436.62304688
0.04500000 3843855.50000000 34479.38671875
0.04600000 3806180.25000000 40250.35937500
0.04700000 3768094.00000000 35269.36328125
0.04800000 3729603.00000000 32895.09765625
0.04900000 3690727.75000000 27680.45898438
0.05000000 3651500.00000000 41900.96484375
0.05100000 3611934.00000000 50711.55468750
0.05200000 3572044.25000000 28397.75195312
0.05300000 3531887.25000000 28608.28906250
0.05400000 3491438.00000000 31684.80078125
0.05500000 3450738.00000000 40580.67968750
0.05600000 3409807.50000000 32069.24023438
0.05700000 3368671.00000000 35168.92578125
0.05800000 3327366.75000000 44170.79687500
0.05900000 3285880.25000000 35487.50781250
0.06000000 3244243.50000000 35621.79687500
0.06100000 3202475.25000000 44674.53125000
0.06200000 3160632.50000000 47788.76562500
0.06300000 3118685.25000000 29939.37890625
0.06400000 3076665.50000000 29997.49023438
0.06500001 3034610.25000000 39055.43750000
0.06600000 2992526.00000000 33082.37500000
0.06700000 2950434.75000000 36113.32031250
0.06800000 2908358.50000000 39131.96484375
0.06900001 2866302.75000000 54173.12500000
0.07000000 2824294.00000000 33086.60546875
0.07100000 2782347.25000000 33054.28515625
0.07200000 2740482.75000000 30008.28710938
0.07300001 2698729.25000000 38942.66796875
0.07400000 2657072.75000000 47827.30859375
0.07500000 2615554.50000000 47707.71484375
0.07600001 2574195.25000000 38651.54296875
0.07700001 2532990.75000000 50381.19140625
0.07800000 2491959.50000000 32482.69335938
0.07900000 2451115.00000000 32354.71875000
0.08000001 2410494.25000000 32216.25781250
0.08100000 2370064.25000000 43727.68359375
0.08200000 2329876.75000000 34808.35937500
0.08300000 2289951.25000000 54821.43750000
0.08400001 2250275.75000000 34429.22265625
0.08500000 2210869.50000000 28520.21679688
0.08600000 2171744.00000000 39677.76562500
0.08700000 2132899.00000000 30969.69531250
0.08800001 2094380.87500000 27959.98632812
0.08900000 2056163.00000000 33309.83984375
0.09000000 2018271.75000000 41324.11718750
0.09100001 1980718.00000000 27333.91015625
0.09200001 1943503.87500000 32534.25781250
0.09300000 1906641.87500000 32260.38085938
0.09400000 1870140.50000000 31979.40429688
0.09500001 1834004.00000000 39614.48828125
0.09600000 1798236.87500000 36630.08593750
0.09700000 1762864.62500000 33688.34375000
0.09800000 1727862.25000000 25658.75585938
0.09900001 1693271.12500000 40638.51171875
0.10000000 1659065.25000000 27648.32226562
0.10100000 1625265.25000000 37299.83984375
0.10200001 1591883.25000000 44270.27734375
0.10300001 1558910.37500000 34046.60546875
0.10400000 1526354.00000000 26444.08398438
0.10500000 1494229.37500000 28509.89843750
0.10600001 1462524.37500000 37557.62890625
0.10700001 1431253.87500000 37098.10156250
0.10800000 1400410.12500000 27476.04687500
0.10900000 1370002.62500000 29386.55664062
0.11000001 1340023.87500000 29004.81835938
0.11100001 1310492.00000000 22016.26757812
0.11200000 1281392.12500000 26063.51757812
0.11300001 1252733.25000000 23563.91406250
0.11400001 1224521.87500000 27459.90429688
0.11500000 1196749.75000000 22905.79101562
0.11600000 1169419.62500000 24627.97851562
0.11700001 1142529.50000000 22245.05078125
0.11800001 1116081.25000000 21914.25781250
0.11900000 1090069.62500000 21583.37890625
0.12000000 1064499.50000000 23184.80078125
0.12100001 1039378.81250000 20922.69726562
0.12200001 1014688.62500000 26209.40820312
0.12300000 990433.62500000 29475.30468750
0.12400001 966608.56250000 23561.08398438
0.12500000 943219.75000000 23174.91015625
0.12600000 920264.31250000 24543.44921875
0.12700000 897726.81250000 18959.99023438
0.12800001 875623.93750000 20331.98828125
0.12900001 853938.25000000 16651.79687500
0.13000001 832675.43750000 21270.69531250
0.13100001 811823.18750000 17681.50976562
0.13200000 791384.81250000 20524.56445312
0.13300000 771365.62500000 20155.78320312
0.13400000 751739.50000000 15222.72558594
0.13500001 732524.81250000 22415.25976562
0.13600001 713697.37500000 21999.72265625
0.13700001 695273.81250000 17270.60351562
0.13800001 677241.06250000 14120.47753906
0.13900001 659594.00000000 26317.80273438
0.14000000 642324.93750000 16302.20703125
0.14100000 625436.25000000 15986.15039062
0.14200000 608918.12500000 20898.07031250
0.14300001 592771.68750000 15364.64257812
0.14400001 576985.50000000 13804.37890625
0.14500001 561562.68750000 13528.04589844
