# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4792995.00000000 1006.52893066
0.00100000 4792478.50000000 1581.51794434
0.00200000 4790919.00000000 2371.50488281
0.00300000 4788257.50000000 3447.54541016
0.00400000 4784611.00000000 4306.14990234
0.00500000 4779895.00000000 5162.28710938
0.00600000 4774159.00000000 5012.86718750
0.00700000 4767388.00000000 5720.86572266
0.00800000 4759584.00000000 7710.52636719
0.00900000 4750738.50000000 9263.94042969
0.01000000 4740851.50000000 9386.88671875
0.01100000 4729976.50000000 9365.35449219
0.01200000 4718099.50000000 13800.44140625
0.01300000 4705199.00000000 14821.37695312
0.01400000 4691324.50000000 13722.12500000
0.01500000 4676478.00000000 15712.96679688
0.01600000 4660647.00000000 13073.11523438
0.01700000 4643842.00000000 13792.21191406
0.01800000 4626116.50000000 15821.31933594
0.01900000 4607427.50000000 13822.28320312
0.02000000 4587843.00000000 26013.07226562
0.02100000 4567291.00000000 21100.88671875
0.02200000 4545869.00000000 15683.24902344
0.02300000 4523535.00000000 21170.14453125
0.02400000 4500322.50000000 21939.07226562
0.02500000 4476247.00000000 24440.30859375
0.02600000 4451329.50000000 25239.03906250
0.02700000 4425581.50000000 24163.67578125
0.02800000 4399006.00000000 21049.24414062
0.02900000 4371664.50000000 23606.98828125
0.03000000 4343525.00000000 22217.13085938
0.03100000 4314619.00000000 28994.24023438
0.03200000 4284958.50000000 23331.59960938
0.03300000 4254567.00000000 23868.12109375
0.03400000 4223450.50000000 22173.11718750
0.03500000 4191666.50000000 22635.00000000
0.03600000 4159197.50000000 25391.90234375
0.03700000 4126089.75000000 25870.58398438
0.03800000 4092336.50000000 28728.20312500
0.03900000 4057973.25000000 29217.40820312
0.04000000 4023008.50000000 39586.40625000
0.04100000 3987454.50000000 30145.15625000
0.04200000 3951361.75000000 25486.28515625
0.04300000 3914744.75000000 25837.31640625
0.04400000 3877590.50000000 31408.48632812
0.04500000 3839959.75000000 34444.44140625
0.04600000 3801863.25000000 40204.70703125
0.04700000 3763313.25000000 35224.61328125
0.04800000 3724333.75000000 32848.62500000
0.04900000 3684942.50000000 27637.07031250
0.05000000 3645179.75000000 41828.43750000
0.05100000 3605041.00000000 50614.77734375
0.05200000 3564562.25000000 28338.26953125
0.05300000 3523766.75000000 28542.51171875
0.05400000 3482676.75000000 31605.29296875
0.05500000 3441306.25000000 40469.76562500
0.05600000 3399674.00000000 31973.93554688
0.05700000 3357814.50000000 35055.58593750
0.05800000 3315732.25000000 44016.34765625
0.05900000 3273468.75000000 35353.46484375
0.06000000 3231029.00000000 35476.69921875
0.06100000 3188429.25000000 44478.58984375
0.06200000 3145717.50000000 47563.25000000
0.06300000 3102887.00000000 29787.71484375
0.06400000 3059967.00000000 29834.67968750
0.06500001 3016987.75000000 38828.63671875
0.06600000 2973951.25000000 32877.03125000
0.06700000 2930880.25000000 35873.97656250
0.06800000 2887810.25000000 38855.48828125
0.06900001 2844750.75000000 53765.79296875
0.07000000 2801720.75000000 32822.16015625
0.07100000 2758734.00000000 32773.76171875
0.07200000 2715811.00000000 29738.13281250
0.07300001 2672980.00000000 38571.10546875
0.07400000 2630248.50000000 47344.47265625
0.07500000 2587636.50000000 47198.49218750
0.07600001 2545169.00000000 38215.71484375
0.07700001 2502831.75000000 49781.32812500
0.07800000 2460675.50000000 32074.90625000
0.07900000 2418696.50000000 31926.79492188
0.08000001 2376936.25000000 31767.75585938
0.08100000 2335382.75000000 43087.81250000
0.08200000 2294068.75000000 34273.38671875
0.08300000 2252982.50000000 53936.40234375
0.08400001 2212161.25000000 33846.07031250
0.08500000 2171612.75000000 28013.80468750
0.08600000 2131364.75000000 38940.03515625
0.08700000 2091385.87500000 30366.92382812
0.08800001 2051728.87500000 27390.58203125
0.08900000 2012407.12500000 32600.99609375
0.09000000 1973407.75000000 40405.52343750
0.09100001 1934757.25000000 26699.65234375
0.09200001 1896474.12500000 31746.97851562
