# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4792994.50000000 1006.52886963
0.00100000 4792477.50000000 1581.51757812
0.00200000 4790952.00000000 2371.52124023
0.00300000 4788372.00000000 3447.62792969
0.00400000 4784798.50000000 4306.31884766
0.00500000 4780191.50000000 5162.60693359
0.00600000 4774579.50000000 5013.30859375
0.00700000 4767953.00000000 5721.54394531
0.00800000 4760300.50000000 7711.68701172
0.00900000 4751697.50000000 9265.81054688
0.01000000 4742022.00000000 9389.20410156
0.01100000 4731388.00000000 9368.14843750
0.01200000 4719748.50000000 13805.26464844
0.01300000 4707153.50000000 14827.53417969
0.01400000 4693572.50000000 13728.70019531
0.01500000 4679058.00000000 15721.63574219
0.01600000 4663557.50000000 13081.27929688
0.01700000 4647124.00000000 13801.95898438
0.01800000 4629762.00000000 15833.78710938
0.01900000 4611477.00000000 13834.43164062
0.02000000 4592293.50000000 26038.30664062
0.02100000 4572191.00000000 21123.52343750
0.02200000 4551219.50000000 15701.70800781
0.02300000 4529360.50000000 21197.40820312
0.02400000 4506621.50000000 21969.77929688
0.02500000 4483056.00000000 24477.48632812
0.02600000 4458651.00000000 25280.55078125
0.02700000 4433419.00000000 24206.46875000
0.02800000 4407404.50000000 21089.43164062
0.02900000 4380566.50000000 23655.06054688
0.03000000 4352975.50000000 22265.47070312
0.03100000 4324651.50000000 29061.66015625
0.03200000 4295572.00000000 23389.39062500
0.03300000 4265774.00000000 23930.99218750
0.03400000 4235268.50000000 22235.16015625
0.03500000 4204070.50000000 22701.98046875
0.03600000 4172232.25000000 25471.47851562
0.03700000 4139728.50000000 25956.09765625
0.03800000 4106595.00000000 28828.29882812
0.03900000 4072843.25000000 29324.47265625
0.04000000 4038499.50000000 39738.83593750
0.04100000 4003585.75000000 30267.10937500
0.04200000 3968112.25000000 25594.32617188
0.04300000 3932115.00000000 25951.95898438
0.04400000 3895600.75000000 31554.36914062
0.04500000 3858587.25000000 34611.52734375
0.04600000 3821099.00000000 40408.12500000
0.04700000 3783178.50000000 35410.55078125
0.04800000 3744814.25000000 33029.26171875
0.04900000 3706035.25000000 27795.26562500
0.05000000 3666874.50000000 42077.38671875
0.05100000 3627341.50000000 50927.87890625
0.05200000 3587451.00000000 28520.23632812
0.05300000 3547236.75000000 28732.61914062
0.05400000 3506721.25000000 31823.49609375
0.05500000 3465917.75000000 40759.19531250
0.05600000 3424843.00000000 32210.64843750
0.05700000 3383527.50000000 35324.03125000
0.05800000 3341979.75000000 44364.78125000
0.05900000 3300226.00000000 35642.44140625
0.06000000 3258307.25000000 35776.21484375
0.06100000 3216208.25000000 44866.10937500
0.06200000 3173958.75000000 47990.25781250
0.06300000 3131593.75000000 30063.30078125
0.06400000 3089135.50000000 30119.07226562
0.06500001 3046582.25000000 39209.51562500
0.06600000 3003968.75000000 33208.87500000
0.06700000 2961297.75000000 36246.28515625
0.06800000 2918618.75000000 39270.01562500
0.06900001 2875934.75000000 54355.17187500
0.07000000 2833228.50000000 33191.27343750
0.07100000 2790570.25000000 33151.97656250
0.07200000 2747955.00000000 30090.10937500
0.07300001 2705424.25000000 39039.27343750
0.07400000 2662961.50000000 47933.30859375
0.07500000 2620583.25000000 47799.44140625
0.07600001 2578333.50000000 38713.67968750
0.07700001 2536212.25000000 50445.26562500
0.07800000 2494242.75000000 32512.45507812
0.07900000 2452437.50000000 32372.17578125
0.08000001 2410803.25000000 32220.38671875
0.08100000 2369376.25000000 43714.99218750
0.08200000 2328143.25000000 34782.46093750
0.08300000 2287148.75000000 54754.34375000
0.08400001 2246384.50000000 34369.68359375
0.08500000 2205879.25000000 28455.84179688
0.08600000 2165626.25000000 39565.99218750
0.08700000 2125660.00000000 30864.58398438
0.08800001 2085955.75000000 27847.51171875
0.08900000 2046574.25000000 33154.50390625
0.09000000 2007507.00000000 41103.70703125
0.09100001 1968768.00000000 27169.00000000
0.09200001 1930353.62500000 32314.12304688
0.09300000 1892292.62500000 32017.59179688
0.09400000 1854582.50000000 31713.36132812
0.09500001 1817241.87500000 39252.42578125
0.09600000 1780267.75000000 36264.05468750
0.09700000 1743678.37500000 33321.69531250
0.09800000 1707483.37500000 25356.12890625
0.09900001 1671684.62500000 40120.43359375
0.10000000 1636288.62500000 27268.75000000
0.10100000 1601305.00000000 36749.94921875
0.10200001 1566747.25000000 43571.24218750
0.10300001 1532607.87500000 33472.16015625
0.10400000 1498908.00000000 25968.58203125
0.10500000 1465643.75000000 27964.48437500
0.10600001 1432815.12500000 36794.69531250
0.10700001 1400432.00000000 36299.19921875
0.10800000 1368503.62500000 26850.04101562
0.10900000 1337036.37500000 28679.43164062
0.11000001 1306016.62500000 28268.73242188
0.11100001 1275457.87500000 21427.69335938
0.11200000 1245368.50000000 25330.79687500
0.11300001 1215738.87500000 22868.04882812
0.11400001 1186586.75000000 26609.20898438
0.11500000 1157900.62500000 22162.21875000
0.11600000 1129694.12500000 23791.35937500
0.11700001 1101939.37500000 21454.76171875
0.11800001 1074675.50000000 21101.25585938
0.11900000 1047875.12500000 20747.92773438
0.12000000 1021544.62500000 22249.24218750
0.12100001 995696.50000000 20043.37109375
0.12200001 970316.18750000 25063.26953125
0.12300000 945401.68750000 28135.15429688
0.12400001 920965.87500000 22448.54492188
0.12500000 896988.62500000 22039.00976562
0.12600000 873484.93750000 23295.84375000
0.12700000 850448.50000000 17961.47265625
0.12800001 827867.87500000 19223.09375000
0.12900001 805751.25000000 15712.15039062
0.13000001 784085.50000000 20029.46484375
0.13100001 762877.00000000 16615.46289062
0.13200000 742118.18750000 19246.83593750
0.13300000 721807.43750000 18860.82812500
0.13400000 701938.06250000 14214.24609375
0.13500001 682511.18750000 20884.84375000
0.13600001 663519.81250000 20453.00000000
0.13700001 644960.06250000 16020.80859375
0.13800001 626823.81250000 13069.27734375
0.13900001 609115.00000000 24303.69140625
0.14000000 591821.06250000 15020.41894531
0.14100000 574943.87500000 14695.56542969
0.14200000 558469.43750000 19166.67187500
0.14300001 542400.75000000 14059.02832031
0.14400001 526727.18750000 12601.94824219
0.14500001 511449.37500000 12320.81640625
0.14600001 496559.09375000 17518.60546875
0.14700000 482048.62500000 11771.62695312
0.14800000 467913.43750000 16732.58398438
0.14900000 454148.68750000 13283.84960938
0.15000001 440748.84375000 11979.55371094
0.15100001 427706.53125000 12677.22265625
0.15200001 415019.71875000 11429.64355469
0.15300001 402678.21875000 13952.80175781
0.15400001 390673.09375000 14533.04003906
0.15500000 379007.46875000 9755.65234375
0.15600000 367667.15625000 10390.27441406
0.15700001 356652.65625000 11833.73535156
0.15800001 345953.59375000 8250.99316406
0.15900001 335563.71875000 8858.88281250
0.16000001 325475.90625000 9432.29199219
0.16100001 315691.15625000 9972.68457031
0.16200000 306194.59375000 9732.39550781
0.16300000 296984.21875000 8036.39306641
0.16400000 288055.62500000 7129.37695312
0.16500001 279398.65625000 9739.83789062
0.16600001 271010.78125000 6788.82031250
0.16700001 262883.15625000 13911.77734375
0.16800001 255008.34375000 9696.69335938
0.16900001 247388.95312500 8200.94433594
0.17000000 240008.09375000 7387.44921875
0.17100000 232867.60937500 7810.37988281
0.17200001 225957.25000000 7622.66796875
0.17300001 219275.60937500 8584.64062500
0.17400001 212814.54687500 5586.38232422
0.17500001 206567.67187500 7089.40283203
0.17600001 200527.59375000 6921.21044922
0.17700000 194693.81250000 6237.98974609
0.17800000 189056.90625000 5583.79589844
0.17900001 183614.78125000 6940.63916016
0.18000001 178358.82812500 5326.68652344
0.18100001 173290.03125000 7096.22705078
0.18200001 168393.96875000 4622.41455078
0.18300001 163670.98437500 5872.51513672
0.18400002 159114.48437500 7506.22656250
0.18500000 154722.07812500 6906.79345703
0.18600000 150487.54687500 4643.29345703
0.18700001 146404.51562500 5367.18994141
0.18800001 142469.98437500 4039.02416992
0.18900001 138682.06250000 4347.68310547
0.19000001 135028.25000000 4642.27148438
0.19100001 131515.35937500 5681.46386719
0.19200000 128127.82031250 5563.95068359
