# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793018.50000000 1006.53387451
0.00100000 4792504.00000000 1581.52636719
0.00200000 4790986.00000000 2371.53808594
0.00300000 4788420.00000000 3447.66235352
0.00400000 4784890.50000000 4306.40185547
0.00500000 4780306.00000000 5162.73095703
0.00600000 4774749.50000000 5013.48681641
0.00700000 4768203.50000000 5721.84423828
0.00800000 4760613.00000000 7712.19335938
0.00900000 4752077.00000000 9266.55078125
0.01000000 4742513.00000000 9390.17675781
0.01100000 4731959.00000000 9369.27929688
0.01200000 4720449.50000000 13807.31445312
0.01300000 4707966.00000000 14830.09277344
0.01400000 4694540.50000000 13731.53125000
0.01500000 4680158.00000000 15725.33105469
0.01600000 4664813.50000000 13084.80273438
0.01700000 4648540.50000000 13806.16601562
0.01800000 4631340.00000000 15839.18359375
0.01900000 4613248.00000000 13839.74511719
0.02000000 4594220.50000000 26049.23242188
0.02100000 4574337.50000000 21133.44140625
0.02200000 4553552.50000000 15709.75683594
0.02300000 4531908.00000000 21209.33203125
0.02400000 4509419.00000000 21983.41796875
0.02500000 4486098.00000000 24494.09570312
0.02600000 4461944.50000000 25299.22656250
0.02700000 4436997.50000000 24226.00781250
0.02800000 4411219.00000000 21107.68359375
0.02900000 4384685.00000000 23677.30078125
0.03000000 4357398.00000000 22288.09179688
0.03100000 4329368.00000000 29093.35351562
0.03200000 4300598.00000000 23416.75781250
0.03300000 4271127.00000000 23961.02148438
0.03400000 4240935.50000000 22264.91210938
0.03500000 4210105.00000000 22734.56640625
0.03600000 4178594.50000000 25510.32031250
0.03700000 4146446.00000000 25998.21679688
0.03800000 4113689.75000000 28878.10351562
0.03900000 4080329.00000000 29378.36914062
0.04000000 4046362.50000000 39816.21093750
0.04100000 4011862.75000000 30329.68359375
0.04200000 3976800.25000000 25650.36328125
0.04300000 3941232.50000000 26012.13476562
0.04400000 3905141.50000000 31631.64843750
0.04500000 3868590.75000000 34701.26171875
0.04600000 3831543.50000000 40518.57421875
0.04700000 3794071.00000000 35512.50781250
0.04800000 3756171.75000000 33129.43359375
0.04900000 3717877.25000000 27884.08007812
0.05000000 3679200.75000000 42218.82812500
0.05100000 3640161.75000000 51107.87500000
0.05200000 3600775.50000000 28626.16601562
0.05300000 3561081.75000000 28844.76367188
0.05400000 3521070.00000000 31953.71093750
0.05500000 3480796.00000000 40934.16406250
0.05600000 3440254.25000000 32355.59179688
0.05700000 3399481.50000000 35490.58984375
0.05800000 3358489.25000000 44583.94531250
0.05900000 3317304.25000000 35826.88671875
0.06000000 3275930.00000000 35969.71093750
0.06100000 3234400.25000000 45119.88671875
0.06200000 3192738.50000000 48274.20703125
0.06300000 3150963.50000000 30249.25000000
0.06400000 3109082.25000000 30313.55273438
0.06500001 3067129.25000000 39473.95703125
0.06600000 3025103.25000000 33442.51562500
0.06700000 2983049.75000000 36512.53125000
0.06800000 2940976.25000000 39570.83593750
0.06900001 2898874.25000000 54788.72656250
0.07000000 2856801.25000000 33467.42578125
0.07100000 2814764.75000000 33439.40625000
0.07200000 2772771.75000000 30361.85156250
0.07300001 2730851.50000000 39406.19140625
0.07400000 2689018.50000000 48402.33203125
0.07500000 2647274.25000000 48286.28515625
0.07600001 2605654.75000000 39123.91015625
0.07700001 2564164.00000000 51001.22656250
0.07800000 2522823.00000000 32885.00000000
0.07900000 2481633.50000000 32757.56445312
0.08000001 2440640.25000000 32619.16015625
0.08100000 2399833.00000000 44276.91796875
0.08200000 2359227.00000000 35246.85156250
0.08300000 2318853.50000000 55513.35546875
0.08400001 2278700.25000000 34864.11718750
0.08500000 2238809.50000000 28880.64257812
0.08600000 2199184.50000000 40179.10156250
0.08700000 2159813.50000000 31360.49414062
0.08800001 2120723.00000000 28311.65429688
0.08900000 2081923.50000000 33727.16015625
0.09000000 2043454.62500000 41839.73437500
0.09100001 2005292.50000000 27673.03906250
0.09200001 1967464.00000000 32935.35156250
0.09300000 1929970.62500000 32655.10351562
0.09400000 1892821.37500000 32367.24609375
0.09500001 1856028.00000000 40090.20703125
0.09600000 1819601.25000000 37065.27734375
0.09700000 1783549.37500000 34083.62890625
0.09800000 1747879.25000000 25956.00781250
0.09900001 1712594.75000000 41102.27734375
0.10000000 1677704.00000000 27958.93750000
