# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4792983.00000000 1006.52642822
0.00100000 4792506.00000000 1581.52697754
0.00200000 4791048.00000000 2371.56884766
0.00300000 4788622.00000000 3447.80786133
0.00400000 4785229.00000000 4306.70605469
0.00500000 4780865.00000000 5163.33447266
0.00600000 4775546.50000000 5014.32373047
0.00700000 4769279.50000000 5723.13574219
0.00800000 4762033.50000000 7714.49462891
0.00900000 4753826.50000000 9269.96191406
0.01000000 4744707.00000000 9394.52050781
0.01100000 4734623.00000000 9374.55468750
0.01200000 4723617.50000000 13816.58105469
0.01300000 4711646.00000000 14841.68554688
0.01400000 4698760.50000000 13743.87500000
0.01500000 4684966.00000000 15741.48632812
0.01600000 4670301.50000000 13100.19628906
0.01700000 4654699.00000000 13824.45703125
0.01800000 4638201.00000000 15862.64843750
0.01900000 4620858.00000000 13862.57519531
0.02000000 4602617.00000000 26096.83984375
0.02100000 4583499.00000000 21175.76757812
0.02200000 4563540.00000000 15744.21386719
0.02300000 4542761.50000000 21260.12500000
0.02400000 4521144.50000000 22040.58007812
0.02500000 4498686.00000000 24562.82617188
0.02600000 4475454.50000000 25375.82812500
0.02700000 4451418.00000000 24304.74218750
0.02800000 4426603.00000000 21181.29687500
0.02900000 4401027.50000000 23765.54882812
0.03000000 4374691.00000000 22376.54492188
0.03100000 4347636.00000000 29216.11523438
0.03200000 4319871.00000000 23521.69921875
0.03300000 4291390.00000000 24074.69726562
0.03400000 4262221.50000000 22376.66406250
0.03500000 4232388.00000000 22854.89453125
0.03600000 4201862.50000000 25652.37304688
0.03700000 4170731.25000000 26150.48437500
0.03800000 4138957.50000000 29055.48437500
0.03900000 4106585.75000000 29567.41796875
0.04000000 4073605.00000000 40084.27734375
0.04100000 4040074.50000000 30542.96484375
0.04200000 4005986.75000000 25838.61718750
0.04300000 3971347.75000000 26210.89648438
0.04400000 3936196.75000000 31883.19531250
0.04500000 3900541.50000000 34987.85937500
0.04600000 3864408.50000000 40866.12500000
0.04700000 3827799.00000000 35828.19921875
0.04800000 3790747.50000000 33434.39453125
0.04900000 3753270.25000000 28149.52734375
0.05000000 3715384.25000000 42634.03515625
0.05100000 3677120.25000000 51626.76953125
0.05200000 3638480.25000000 28925.91796875
0.05300000 3599493.00000000 29155.89453125
0.05400000 3560157.50000000 32308.42968750
0.05500000 3520519.75000000 41401.31640625
0.05600000 3480583.00000000 32734.88476562
0.05700000 3440371.75000000 35917.48437500
0.05800000 3399901.50000000 45133.69531250
0.05900000 3359193.75000000 36279.29687500
0.06000000 3318278.00000000 36434.69531250
0.06100000 3277163.50000000 45716.43359375
0.06200000 3235858.00000000 48926.17578125
0.06300000 3194391.00000000 30666.15429688
0.06400000 3152794.50000000 30739.74804688
0.06500001 3111070.50000000 40039.48046875
0.06600000 3069231.25000000 33930.35156250
0.06700000 3027311.50000000 37054.29296875
0.06800000 2985310.25000000 40167.35156250
0.06900001 2943270.25000000 55627.81250000
0.07000000 2901191.25000000 33987.45703125
0.07100000 2859104.75000000 33966.16406250
0.07200000 2817007.00000000 30846.22851562
0.07300001 2774942.50000000 40042.42187500
0.07400000 2732898.25000000 49192.16796875
0.07500000 2690909.25000000 49082.18750000
0.07600001 2648996.50000000 39774.68359375
0.07700001 2607162.25000000 51856.46093750
0.07800000 2565432.50000000 33440.41406250
0.07900000 2523817.75000000 33314.39453125
0.08000001 2482335.25000000 33176.41406250
0.08100000 2441003.25000000 45036.51171875
0.08200000 2399831.50000000 35853.48437500
0.08300000 2358828.00000000 56470.34375000
0.08400001 2318031.75000000 35465.88671875
0.08500000 2277426.00000000 29378.79492188
0.08600000 2237042.25000000 40870.76171875
0.08700000 2196901.50000000 31899.01171875
0.08800001 2156988.00000000 28795.79296875
0.08900000 2117342.75000000 34300.95312500
0.09000000 2077959.87500000 42546.23046875
0.09100001 2038866.50000000 28136.35937500
0.09200001 2000059.75000000 33481.00390625
0.09300000 1961563.37500000 33189.65234375
0.09400000 1923376.37500000 32889.73828125
0.09500001 1885514.62500000 40727.11718750
0.09600000 1847989.62500000 37643.55078125
0.09700000 1810808.37500000 34604.55078125
0.09800000 1773988.25000000 26343.72656250
0.09900001 1737530.75000000 41700.74218750
0.10000000 1701442.12500000 28354.53320312
0.10100000 1665731.62500000 38228.54296875
0.10200001 1630414.25000000 45341.82421875
0.10300001 1595487.87500000 34845.45703125
0.10400000 1560964.50000000 27043.71093750
0.10500000 1526862.75000000 29132.54296875
0.10600001 1493157.12500000 38344.27734375
0.10700001 1459886.00000000 37840.24609375
0.10800000 1427036.62500000 27998.45898438
0.10900000 1394620.00000000 29914.59960938
0.11000001 1362643.12500000 29494.41210938
0.11100001 1331110.87500000 22362.66406250
0.11200000 1300020.12500000 26442.41015625
0.11300001 1269372.62500000 23876.90039062
0.11400001 1239189.25000000 27788.82031250
0.11500000 1209460.37500000 23149.07226562
0.11600000 1180194.87500000 24854.90429688
0.11700001 1151377.25000000 22417.31640625
0.11800001 1123031.25000000 22050.72070312
0.11900000 1095144.87500000 21683.86914062
0.12000000 1067724.12500000 23255.03320312
0.12100001 1040779.06250000 20950.88281250
0.12200001 1014298.43750000 26199.33007812
0.12300000 988283.43750000 29411.31640625
0.12400001 962742.93750000 23466.85937500
0.12500000 937662.93750000 23038.37890625
0.12600000 913056.87500000 24351.22656250
0.12700000 888920.62500000 18774.00390625
0.12800001 865241.25000000 20090.90234375
0.12900001 842031.37500000 16419.61328125
0.13000001 819287.56250000 20928.70312500
0.13100001 797000.75000000 17358.67773438
0.13200000 775173.68750000 20104.12890625
0.13300000 753803.00000000 19696.87304688
0.13400000 732890.75000000 14841.03808594
0.13500001 712424.93750000 21800.20312500
0.13600001 692410.75000000 21343.56250000
0.13700001 672839.87500000 16713.34375000
0.13800001 653711.93750000 13629.89453125
0.13900001 635020.50000000 25337.32031250
0.14000000 616762.81250000 15653.44042969
0.14100000 598938.50000000 15308.86816406
0.14200000 581534.87500000 19958.27734375
0.14300001 564558.81250000 14633.36523438
0.14400001 547992.25000000 13110.71582031
0.14500001 531841.75000000 12812.06835938
0.14600001 516098.46875000 18207.95507812
0.14700000 500760.90625000 12228.58105469
0.14800000 485812.93750000 17372.66992188
0.14900000 471261.43750000 13784.39746094
0.15000001 457096.75000000 12423.89062500
0.15100001 443311.43750000 13139.75195312
0.15200001 429903.59375000 11839.54589844
0.15300001 416865.68750000 14444.39746094
0.15400001 404188.15625000 15035.80078125
0.15500000 391873.65625000 10086.82812500
0.15600000 379907.75000000 10736.19335938
0.15700001 368291.59375000 12219.91503906
0.15800001 357012.90625000 8514.75781250
0.15900001 346067.56250000 9136.18457031
0.16000001 335451.78125000 9721.39355469
0.16100001 325160.65625000 10271.82617188
0.16200000 315183.34375000 10018.10253906
0.16300000 305515.75000000 8267.25585938
0.16400000 296151.62500000 7329.75292969
0.16500001 287084.50000000 10007.76562500
0.16600001 278308.93750000 6971.63916016
0.16700001 269816.71875000 14278.70117188
0.16800001 261603.35937500 9947.46875000
0.16900001 253664.17187500 8408.96777344
0.17000000 245989.95312500 7571.57080078
0.17100000 238574.12500000 8001.77636719
0.17200001 231412.81250000 7806.71142578
0.17300001 224498.82812500 8789.12988281
0.17400001 217827.45312500 5717.97119141
0.17500001 211392.06250000 7254.97607422
0.17600001 205183.32812500 7081.90332031
0.17700000 199200.79687500 6382.39355469
0.17800000 193433.85937500 5713.06933594
0.17900001 187879.62500000 7101.85009766
0.18000001 182531.78125000 5451.31201172
0.18100001 177385.10937500 7263.92041016
0.18200001 172430.18750000 4733.20898438
0.18300001 167664.28125000 6015.79492188
0.18400002 163082.37500000 7693.41162109
0.18500000 158680.62500000 7083.50341797
0.18600000 154449.50000000 4765.53955078
0.18700001 150384.98437500 5513.11376953
0.18800001 146482.82812500 4152.78857422
0.18900001 142739.45312500 4474.88232422
0.19000001 139143.84375000 4783.76562500
0.19100001 135700.50000000 5862.26220703
0.19200000 132395.00000000 5749.25292969
0.19300000 129230.23437500 4136.65966797
0.19400001 126195.74218750 3691.22558594
0.19500001 123288.79687500 3624.69067383
0.19600001 120506.79687500 4629.26904297
0.19700001 117843.39843750 3849.94409180
0.19800001 115293.77343750 3441.51928711
0.19900002 112857.21875000 4062.86010742
0.20000000 110524.53906250 3665.54638672
0.20100001 108295.75000000 3609.49755859
0.20200001 106164.16406250 3879.23876953
0.20300001 104129.17187500 3823.62329102
0.20400001 102184.03125000 3456.37500000
0.20500001 100326.57031250 3100.09130859
0.20600002 98551.71093750  4590.04638672
0.20700002 96857.67968750  5137.33154297
0.20800000 95241.44531250  3881.56518555
0.20900001 93701.63281250  2951.60156250
0.21000001 92228.45312500  4086.64282227
0.21100001 90824.16406250  3177.02929688
0.21200001 89484.50781250  3430.83618164
0.21300001 88204.92968750  3963.92968750
0.21400002 86986.64843750  3646.91552734
0.21500000 85825.01562500  3058.80371094
0.21600001 84715.09375000  3860.46704102
0.21700001 83658.19531250  3556.31005859
0.21800001 82648.17968750  3257.99145508
0.21900001 81684.03906250  2965.13085938
0.22000001 80764.17968750  2677.33276367
0.22100002 79888.28906250  3192.33618164
0.22200002 79051.36718750  3173.12207031
0.22300000 78251.47656250  2629.24975586
0.22400001 77485.90625000  3661.20922852
0.22500001 76757.73437500  3122.50463867
0.22600001 76058.85156250  3107.76489258
0.22700001 75391.98437500  3094.08715820
0.22800002 74753.59375000  2824.56469727
0.22900002 74140.96093750  2813.64965820
0.23000000 73554.96093750  3313.28320312
0.23100001 72994.26562500  3302.26074219
0.23200001 72453.57031250  2785.47753906
0.23300001 71936.38281250  4039.94750977
0.23400001 71439.41406250  2770.06347656
0.23500001 70958.42968750  2511.92846680
0.23600002 70498.35156250  3007.45996094
0.23700002 70053.57812500  4251.55175781
0.23800001 69625.18750000  3494.48828125
0.23900001 69209.87500000  3737.33325195
0.24000001 68808.62500000  2736.17504883
0.24100001 68422.00781250  2980.46289062
0.24200001 68045.87500000  2976.32666016
0.24300002 67680.79687500  3467.96435547
0.24400002 67326.25000000  3711.35986328
0.24500000 66980.71875000  2718.74731445
0.24600001 66645.00781250  2963.03710938
0.24700001 66316.86718750  2713.68627930
0.24800001 65996.67187500  2711.47338867
0.24900001 65682.54687500  2955.71484375
0.25000000 65375.75781250  2707.53710938
0.25100002 65074.44921875  3935.70288086
0.25200000 64780.45703125  2950.10205078
0.25300002 64490.05859375  3685.60717773
0.25400001 64204.54296875  2701.40625000
0.25500003 63922.85937500  2700.10180664
0.25600001 63645.91015625  3680.32495117
0.25700000 63371.46093750  2942.97070312
0.25800002 63101.32812500  3186.93286133
0.25900000 62833.48828125  2695.55664062
0.26000002 62569.05468750  2939.49438477
0.26100001 62305.46484375  2448.60473633
0.26200002 62046.06640625  2937.26098633
0.26300001 61786.58984375  2691.42407227
0.26400000 61529.64062500  2934.96386719
0.26500002 61274.55078125  3911.76757812
0.26600000 61021.04296875  2443.89282227
0.26700002 60768.20312500  2442.88183594
0.26800001 60517.66015625  2441.88769531
0.26900002 60266.25390625  2440.78344727
0.27000001 60016.97265625  2927.62792969
0.27100003 59767.49609375  2926.21679688
0.27200001 59521.22265625  3656.09130859
0.27300000 59273.47265625  2436.13964844
0.27400002 59024.59375000  3408.67041016
0.27500001 58779.04687500  2433.45263672
0.27600002 58531.58593750  3404.78271484
0.27700001 58286.33593750  2430.54028320
0.27800003 58040.45312500  2671.89257812
0.27900001 57795.19140625  2912.87768555
0.28000000 57549.61718750  2910.85961914
0.28100002 57304.96093750  2908.80004883
0.28200001 57060.02343750  3148.85742188
0.28300002 56815.80859375  3630.53051758
0.28400001 56570.98437500  3143.93261719
0.28500003 56327.08984375  2899.71875000
0.28600001 56082.51562500  2655.78759766
0.28700000 55837.97656250  2412.20068359
0.28800002 55594.38671875  2651.01855469
0.28900000 55350.85156250  3852.41943359
0.29000002 55106.84765625  2645.95556641
0.29100001 54864.44531250  2403.06274414
0.29200003 54621.67187500  2640.68505859
0.29300001 54379.17578125  3117.55834961
0.29400000 54136.25390625  2395.52929688
0.29500002 53894.83984375  2871.51733398
0.29600000 53652.85546875  3107.30517578
0.29700002 53411.08203125  2387.47558594
0.29800001 53170.80078125  2623.18164062
0.29900002 52930.45312500  2381.87060547
0.30000001 52690.65625000  2616.88159180
0.30100003 52451.55078125  3088.87207031
0.30200002 52212.16406250  3084.95581055
0.30300000 51974.61328125  4029.07202148
0.30400002 51737.63671875  3550.49560547
0.30500001 51499.99609375  2600.23486328
0.30600002 51263.93359375  3068.91552734
0.30700001 51029.25390625  2357.55151367
0.30800003 50794.49609375  3060.62255859
0.30900002 50561.55468750  2586.22363281
0.31000000 50328.83984375  4226.11279297
0.31100002 50097.53125000  3047.93408203
0.31200001 49867.14453125  2341.26245117
0.31300002 49637.91015625  2337.94580078
0.31400001 49409.78906250  2801.53515625
0.31500003 49182.87109375  2564.39501953
0.31600001 48956.89453125  2327.90039062
0.31700000 48732.91406250  2557.01611328
0.31800002 48509.61328125  2321.18505859
0.31900001 48288.97656250  2549.65795898
0.32000002 48068.62890625  3471.75708008
0.32100001 47850.31250000  3928.98925781
0.32200003 47634.21093750  3461.81665039
