# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793026.50000000 1006.53558350
0.00100000 4792516.50000000 1581.53051758
0.00200000 4791003.50000000 2371.54687500
0.00300000 4788456.50000000 3447.68872070
0.00400000 4784963.50000000 4306.46728516
0.00500000 4780422.50000000 5162.85644531
0.00600000 4774885.50000000 5013.62988281
0.00700000 4768384.00000000 5722.06103516
0.00800000 4760870.50000000 7712.61035156
0.00900000 4752387.50000000 9267.15625000
0.01000000 4742907.50000000 9390.95703125
0.01100000 4732428.00000000 9370.20800781
0.01200000 4721004.50000000 13808.93847656
0.01300000 4708623.50000000 14832.16406250
0.01400000 4695287.50000000 13733.71679688
0.01500000 4681003.00000000 15728.17089844
0.01600000 4665778.50000000 13087.50976562
0.01700000 4649620.50000000 13809.37402344
0.01800000 4632527.00000000 15843.24316406
0.01900000 4614565.00000000 13843.69628906
0.02000000 4595691.50000000 26057.57226562
0.02100000 4575947.50000000 21140.87890625
0.02200000 4555329.00000000 15715.88671875
0.02300000 4533825.00000000 21218.30273438
0.02400000 4511480.50000000 21993.46679688
0.02500000 4488305.50000000 24506.14843750
0.02600000 4464316.00000000 25312.67187500
0.02700000 4439504.00000000 24239.69335938
0.02800000 4413889.00000000 21120.45898438
0.02900000 4387545.50000000 23692.74609375
0.03000000 4360402.00000000 22303.45703125
0.03100000 4332519.50000000 29114.53320312
0.03200000 4303929.50000000 23434.89648438
0.03300000 4274626.00000000 23980.65234375
0.03400000 4244607.50000000 22284.19140625
0.03500000 4213908.50000000 22755.10546875
0.03600000 4182600.50000000 25534.77734375
0.03700000 4150624.50000000 26024.41601562
0.03800000 4118023.50000000 28908.52734375
0.03900000 4084815.75000000 29410.67382812
0.04000000 4051030.75000000 39862.14453125
0.04100000 4016667.75000000 30366.00976562
0.04200000 3981767.00000000 25682.39843750
0.04300000 3946339.75000000 26045.84375000
0.04400000 3910407.50000000 31674.30273438
0.04500000 3873990.25000000 34749.69531250
0.04600000 3837089.50000000 40577.22656250
0.04700000 3799739.75000000 35565.56640625
0.04800000 3761974.00000000 33180.60937500
0.04900000 3723803.75000000 27928.52929688
0.05000000 3685242.75000000 42288.16015625
0.05100000 3646315.75000000 51194.27734375
0.05200000 3607027.75000000 28675.87109375
0.05300000 3567426.00000000 28896.15234375
0.05400000 3527509.75000000 32012.15234375
0.05500000 3487324.75000000 41010.94140625
0.05600000 3446852.25000000 32417.64648438
0.05700000 3406147.00000000 35560.17578125
0.05800000 3365207.00000000 44673.12500000
0.05900000 3324069.25000000 35899.94921875
0.06000000 3282744.75000000 36044.53906250
0.06100000 3241248.00000000 45215.41406250
0.06200000 3199622.75000000 48378.29687500
0.06300000 3157848.50000000 30315.34570312
0.06400000 3115970.75000000 30380.71679688
0.06500001 3074013.50000000 39562.55859375
0.06600000 3031987.25000000 33518.61718750
0.06700000 2989900.50000000 36596.38281250
0.06800000 2947791.00000000 39662.53125000
0.06900001 2905663.00000000 54917.03515625
0.07000000 2863545.75000000 33546.43750000
0.07100000 2821447.00000000 33518.79296875
0.07200000 2779374.50000000 30434.15234375
0.07300001 2737369.00000000 39500.23828125
0.07400000 2695443.50000000 48517.98437500
0.07500000 2653604.50000000 48401.74609375
0.07600001 2611874.50000000 39217.29687500
0.07700001 2570255.75000000 51122.39062500
0.07800000 2528800.75000000 32962.91796875
0.07900000 2487476.00000000 32834.68359375
0.08000001 2446321.00000000 32695.08203125
0.08100000 2405366.75000000 44379.01562500
0.08200000 2364606.25000000 35327.21875000
0.08300000 2324048.75000000 55637.73046875
0.08400001 2283724.00000000 34940.98046875
0.08500000 2243636.00000000 28942.90429688
0.08600000 2203805.00000000 40263.51953125
0.08700000 2164231.75000000 31424.64648438
0.08800001 2124931.75000000 28367.84179688
0.08900000 2085922.75000000 33791.94921875
0.09000000 2047216.62500000 41916.76171875
0.09100001 2008830.12500000 27721.85742188
0.09200001 1970756.12500000 32990.46093750
0.09300000 1933019.87500000 32706.69726562
0.09400000 1895619.50000000 32415.09570312
0.09500001 1858573.87500000 40145.19921875
0.09600000 1821886.50000000 37111.82812500
0.09700000 1785568.12500000 34122.20703125
0.09800000 1749628.25000000 25981.98046875
0.09900001 1714069.00000000 41137.66015625
0.10000000 1678899.75000000 27978.86523438
0.10100000 1644138.00000000 37732.96875000
0.10200001 1609768.75000000 44767.67187500
0.10300001 1575819.62500000 34415.90234375
0.10400000 1542279.62500000 26719.99414062
0.10500000 1509172.87500000 28795.01953125
0.10600001 1476483.75000000 37916.10546875
0.10700001 1444228.62500000 37434.41015625
0.10800000 1412410.62500000 27711.49804688
0.10900000 1381028.00000000 29623.05273438
0.11000001 1350091.87500000 29222.74023438
0.11100001 1319610.75000000 22169.46289062
0.11200000 1289559.12500000 26229.63281250
0.11300001 1259972.50000000 23700.08398438
0.11400001 1230838.50000000 27601.55468750
0.11500000 1202154.25000000 23009.23242188
0.11600000 1173937.75000000 24723.13085938
0.11700001 1146163.25000000 22315.79882812
0.11800001 1118854.25000000 21968.70507812
0.11900000 1092006.25000000 21621.72460938
0.12000000 1065612.62500000 23209.04296875
0.12100001 1039681.37500000 20928.78710938
0.12200001 1014207.81250000 26196.99023438
0.12300000 989194.00000000 29438.41406250
0.12400001 964631.25000000 23512.88867188
0.12500000 940524.68750000 23108.69140625
0.12600000 916872.93750000 24453.00195312
0.12700000 893677.06250000 18874.46093750
0.12800001 870921.81250000 20222.80468750
0.12900001 848619.25000000 16548.07617188
0.13000001 826760.18750000 21119.58984375
0.13100001 805343.18750000 17540.37695312
0.13200000 784360.06250000 20342.37890625
0.13300000 763818.12500000 19958.56835938
0.13400000 743708.18750000 15060.09082031
0.13500001 724027.12500000 22155.23046875
0.13600001 704769.68750000 21724.52734375
0.13700001 685931.75000000 17038.54492188
0.13800001 667510.12500000 13917.58691406
0.13900001 649504.12500000 25915.21679688
0.14000000 631908.68750000 16037.84277344
0.14100000 614712.75000000 15712.05859375
0.14200000 597918.43750000 20520.56054688
0.14300001 581518.37500000 15072.95703125
0.14400001 565504.37500000 13529.69335938
0.14500001 549877.56250000 13246.55175781
0.14600001 534629.56250000 18861.73242188
0.14700000 519756.53125000 12692.45410156
0.14800000 505251.59375000 18067.79687500
0.14900000 491111.78125000 14365.01953125
0.15000001 477326.87500000 12973.74511719
0.15100001 463894.56250000 13749.83593750
0.15200001 450814.96875000 12415.44531250
0.15300001 438073.81250000 15179.25878906
0.15400001 425666.12500000 15834.78125000
0.15500000 413590.12500000 10645.80957031
0.15600000 401838.31250000 11355.95117188
0.15700001 390407.75000000 12953.72949219
0.15800001 379285.59375000 9045.96191406
0.15900001 368473.09375000 9727.69042969
0.16000001 357958.28125000 10373.63183594
0.16100001 347743.90625000 10985.23046875
