# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793019.00000000 1006.53399658
0.00100000 4792503.00000000 1581.52600098
0.00200000 4790955.50000000 2371.52294922
0.00300000 4788374.50000000 3447.62963867
0.00400000 4784792.50000000 4306.31347656
0.00500000 4780162.50000000 5162.57568359
0.00600000 4774532.00000000 5013.25878906
0.00700000 4767914.50000000 5721.49755859
0.00800000 4760232.00000000 7711.57617188
0.00900000 4751583.50000000 9265.58789062
0.01000000 4741925.50000000 9389.01269531
0.01100000 4731266.00000000 9367.90722656
0.01200000 4719609.50000000 13804.85742188
0.01300000 4706971.50000000 14826.96093750
0.01400000 4693384.50000000 13728.15039062
0.01500000 4678847.50000000 15720.92773438
0.01600000 4663321.50000000 13080.61718750
0.01700000 4646860.50000000 13801.17675781
0.01800000 4629483.00000000 15832.83300781
0.01900000 4611200.50000000 13833.60253906
0.02000000 4591987.00000000 26036.56835938
0.02100000 4571859.50000000 21121.99218750
0.02200000 4550848.50000000 15700.42871094
0.02300000 4528998.00000000 21195.71289062
0.02400000 4506264.00000000 21968.03710938
0.02500000 4482689.50000000 24475.48437500
0.02600000 4458274.00000000 25278.41406250
0.02700000 4433053.00000000 24204.47070312
0.02800000 4407020.50000000 21087.59375000
0.02900000 4380255.50000000 23653.38085938
0.03000000 4352689.50000000 22264.00781250
0.03100000 4324395.00000000 29059.93554688
0.03200000 4295333.50000000 23388.09179688
0.03300000 4265597.50000000 23930.00195312
0.03400000 4235131.00000000 22234.43945312
0.03500000 4204004.50000000 22701.62500000
0.03600000 4172225.00000000 25471.43554688
0.03700000 4139815.25000000 25956.64257812
0.03800000 4106768.25000000 28829.51562500
0.03900000 4073120.75000000 29326.47070312
0.04000000 4038890.75000000 39742.68750000
0.04100000 4004095.00000000 30270.95898438
0.04200000 3968762.75000000 25598.52148438
0.04300000 3932914.25000000 25957.23437500
0.04400000 3896556.25000000 31562.10742188
0.04500000 3859725.00000000 34621.73437500
0.04600000 3822447.00000000 40422.37890625
0.04700000 3784699.00000000 35424.78515625
0.04800000 3746555.25000000 33044.61718750
0.04900000 3708002.50000000 27810.01953125
0.05000000 3669088.00000000 42102.78515625
0.05100000 3629795.50000000 50962.33203125
0.05200000 3590201.50000000 28542.10156250
0.05300000 3550268.75000000 28757.17773438
0.05400000 3510052.75000000 31853.73046875
0.05500000 3469553.50000000 40801.95312500
0.05600000 3428815.50000000 32248.01171875
0.05700000 3387841.75000000 35369.07031250
0.05800000 3346674.25000000 44427.10156250
0.05900000 3305294.00000000 35697.17578125
0.06000000 3263747.00000000 35835.94531250
0.06100000 3222061.75000000 44947.76562500
0.06200000 3180242.50000000 48085.26953125
0.06300000 3138317.25000000 30127.84570312
0.06400000 3096302.75000000 30188.95312500
0.06500001 3054213.00000000 39307.72265625
0.06600000 3012083.00000000 33298.57812500
0.06700000 2969921.75000000 36351.84375000
0.06800000 2927733.25000000 39392.65234375
0.06900001 2885554.75000000 54536.98828125
0.07000000 2843407.75000000 33310.52343750
0.07100000 2801306.25000000 33279.51953125
0.07200000 2759248.75000000 30213.77539062
0.07300001 2717274.00000000 39210.26562500
0.07400000 2675393.00000000 48157.07421875
0.07500000 2633629.50000000 48037.40234375
0.07600001 2591982.75000000 38918.62500000
0.07700001 2550475.75000000 50728.96875000
0.07800000 2509130.50000000 32706.51757812
0.07900000 2467944.75000000 32576.87304688
0.08000001 2426950.25000000 32436.19140625
0.08100000 2386183.00000000 44025.07812500
0.08200000 2345607.50000000 35043.37890625
0.08300000 2305280.25000000 55188.41015625
0.08400001 2265169.50000000 34657.09765625
0.08500000 2225320.75000000 28706.63867188
0.08600000 2185763.50000000 39933.90234375
0.08700000 2146466.50000000 31166.69531250
0.08800001 2107464.00000000 28134.64648438
0.08900000 2068750.75000000 33513.76171875
0.09000000 2030365.62500000 41571.73828125
0.09100001 1992301.12500000 27493.75781250
0.09200001 1954576.25000000 32719.60937500
0.09300000 1917191.87500000 32438.88671875
0.09400000 1880156.62500000 32150.67968750
0.09500001 1843483.75000000 39819.25000000
0.09600000 1807182.12500000 36812.30078125
0.09700000 1771255.87500000 33848.69921875
0.09800000 1735713.50000000 25775.34765625
0.09900001 1700564.00000000 40813.53906250
0.10000000 1665807.12500000 27760.67578125
0.10100000 1631460.62500000 37442.02343750
0.10200001 1597520.62500000 44427.05078125
0.10300001 1563997.87500000 34157.71484375
0.10400000 1530895.37500000 26522.76367188
0.10500000 1498222.75000000 28586.09179688
0.10600001 1465964.62500000 37645.97265625
0.10700001 1434154.50000000 37173.28906250
0.10800000 1402770.00000000 27522.34765625
0.10900000 1371832.75000000 29425.81445312
0.11000001 1341329.75000000 29033.08398438
0.11100001 1311275.12500000 22029.42382812
0.11200000 1281669.25000000 26069.15429688
0.11300001 1252504.50000000 23559.61132812
0.11400001 1223804.62500000 27443.82031250
0.11500000 1195542.00000000 22882.67382812
0.11600000 1167732.25000000 24592.44140625
0.11700001 1140376.25000000 22203.12695312
0.11800001 1113476.37500000 21863.10937500
0.11900000 1087017.50000000 21522.94726562
0.12000000 1061009.75000000 23108.79296875
0.12100001 1035462.68750000 20843.86523438
0.12200001 1010358.56250000 26097.56445312
0.12300000 985705.25000000 29334.58984375
0.12400001 961493.25000000 23436.39843750
0.12500000 937725.12500000 23039.90625000
0.12600000 914412.81250000 24387.39062500
0.12700000 891527.43750000 18829.06054688
0.12800001 869079.18750000 20180.01953125
0.12900001 847070.50000000 16517.87500000
0.13000001 825493.87500000 21087.24218750
0.13100001 804340.75000000 17518.54296875
0.13200000 783620.50000000 20323.19726562
0.13300000 763316.87500000 19945.47070312
0.13400000 743434.12500000 15054.54101562
0.13500001 723964.81250000 22153.32421875
0.13600001 704907.87500000 21728.78710938
0.13700001 686254.62500000 17046.56640625
0.13800001 668005.18750000 13927.90917969
0.13900001 650153.25000000 25941.11718750
0.14000000 632699.43750000 16057.91210938
0.14100000 615627.12500000 15735.42968750
0.14200000 598946.68750000 20555.85156250
0.14300001 582636.81250000 15101.94726562
0.14400001 566706.31250000 13558.44921875
0.14500001 551150.93750000 13277.22753906
0.14600001 535955.25000000 18908.50195312
0.14700000 521120.96875000 12725.77441406
0.14800000 506638.31250000 18117.38671875
0.14900000 492508.53125000 14405.87500000
0.15000001 478721.09375000 13011.63964844
