# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793036.50000000 1006.53765869
0.00100000 4792491.50000000 1581.52221680
0.00200000 4790822.50000000 2371.45727539
0.00300000 4788086.00000000 3447.42187500
0.00400000 4784290.00000000 4305.86132812
0.00500000 4779371.50000000 5161.72167969
0.00600000 4773403.50000000 5012.07373047
0.00700000 4766376.00000000 5719.65136719
0.00800000 4758249.50000000 7708.36474609
0.00900000 4749034.00000000 9260.61718750
0.01000000 4738755.00000000 9382.73535156
0.01100000 4727427.00000000 9360.30566406
0.01200000 4715084.00000000 13791.62109375
0.01300000 4701709.50000000 14810.38476562
0.01400000 4687308.50000000 13710.37792969
0.01500000 4671887.50000000 15697.54296875
0.01600000 4655461.50000000 13058.57031250
0.01700000 4638072.50000000 13775.07617188
0.01800000 4619700.00000000 15799.37500000
0.01900000 4600383.00000000 13801.14941406
0.02000000 4580062.00000000 25968.95312500
0.02100000 4558800.00000000 21061.65820312
0.02200000 4536651.50000000 15651.44921875
0.02300000 4513583.50000000 21123.57226562
0.02400000 4489611.50000000 21886.85546875
0.02500000 4464778.50000000 24377.69140625
0.02600000 4439129.50000000 25169.86523438
0.02700000 4412598.50000000 24092.78906250
0.02800000 4385268.50000000 20983.50976562
0.02900000 4357121.50000000 23528.45703125
0.03000000 4328230.00000000 22138.89648438
0.03100000 4298558.00000000 28886.31054688
0.03200000 4268142.00000000 23240.03515625
0.03300000 4237027.50000000 23769.72460938
0.03400000 4205203.50000000 22077.32031250
0.03500000 4172741.00000000 22532.80078125
0.03600000 4139588.75000000 25272.19140625
0.03700000 4105812.25000000 25743.44335938
0.03800000 4071404.75000000 28581.26367188
0.03900000 4036434.25000000 29062.32812500
0.04000000 4000879.25000000 39368.65625000
0.04100000 3964795.00000000 29973.85156250
0.04200000 3928173.75000000 25336.72265625
0.04300000 3891068.25000000 25681.05078125
0.04400000 3853490.50000000 31213.27539062
0.04500000 3815452.00000000 34224.60546875
0.04600000 3776976.25000000 39941.52734375
0.04700000 3738129.25000000 34988.89062500
0.04800000 3698859.50000000 32623.94140625
0.04900000 3659253.25000000 27444.40039062
0.05000000 3619304.75000000 41531.52343750
0.05100000 3579033.75000000 50249.63671875
0.05200000 3538482.25000000 28130.93359375
0.05300000 3497679.50000000 28331.20507812
0.05400000 3456590.25000000 31368.55664062
0.05500000 3415298.25000000 40163.91015625
0.05600000 3373810.25000000 31730.68554688
0.05700000 3332147.25000000 34787.62109375
0.05800000 3290315.00000000 43678.93359375
0.05900000 3248359.75000000 35082.28906250
0.06000000 3206278.25000000 35204.93750000
0.06100000 3164104.50000000 44139.26171875
0.06200000 3121865.75000000 47202.61328125
0.06300000 3079571.00000000 29563.88281250
0.06400000 3037243.25000000 29613.12304688
0.06500001 2994905.25000000 38544.43359375
0.06600000 2952588.50000000 32640.86523438
0.06700000 2910271.50000000 35621.72265625
0.06800000 2868022.00000000 38589.23828125
0.06900001 2825814.25000000 53407.89453125
0.07000000 2783705.25000000 32611.10742188
0.07100000 2741692.50000000 32571.30859375
0.07200000 2699798.50000000 29562.79492188
0.07300001 2658031.00000000 38355.39062500
0.07400000 2616417.00000000 47095.50781250
0.07500000 2574967.25000000 46967.40625000
0.07600001 2533695.75000000 38043.44531250
0.07700001 2492612.00000000 49578.05859375
0.07800000 2451742.75000000 31958.46679688
0.07900000 2411108.25000000 31826.63085938
0.08000001 2370701.00000000 31684.42187500
0.08100000 2330554.00000000 42998.72265625
0.08200000 2290659.50000000 34222.45312500
0.08300000 2251058.25000000 53890.33593750
0.08400001 2211724.75000000 33839.39062500
0.08500000 2172689.25000000 28027.69140625
0.08600000 2133974.00000000 38987.70703125
0.08700000 2095589.12500000 30427.95507812
0.08800001 2057503.87500000 27467.67968750
0.08900000 2019778.25000000 32720.40820312
0.09000000 1982395.62500000 40589.55078125
0.09100001 1945370.00000000 26846.10742188
0.09200001 1908713.25000000 31951.86328125
0.09300000 1872426.50000000 31681.45703125
0.09400000 1836515.50000000 31404.41601562
0.09500001 1800983.25000000 38901.24218750
0.09600000 1765856.25000000 35970.49218750
0.09700000 1731122.75000000 33081.75781250
0.09800000 1696797.62500000 25197.44531250
0.09900001 1662879.25000000 39909.10546875
0.10000000 1629358.37500000 27153.25781250
0.10100000 1596277.12500000 36634.56250000
0.10200001 1563608.00000000 43483.94140625
0.10300001 1531364.37500000 33445.00000000
0.10400000 1499551.00000000 25979.72070312
0.10500000 1468168.37500000 28012.65429688
0.10600001 1437207.37500000 36907.48828125
0.10700001 1406696.12500000 36461.56640625
0.10800000 1376615.12500000 27009.18945312
0.10900000 1346964.87500000 28892.39843750
0.11000001 1317760.37500000 28522.92578125
