# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793000.50000000 1006.53009033
0.00100000 4792475.50000000 1581.51696777
0.00200000 4790864.50000000 2371.47802734
0.00300000 4788209.00000000 3447.51049805
0.00400000 4784503.50000000 4306.05322266
0.00500000 4779731.00000000 5162.10986328
0.00600000 4773917.00000000 5012.61279297
0.00700000 4767070.50000000 5720.48486328
0.00800000 4759171.50000000 7709.85839844
0.00900000 4750219.50000000 9262.92871094
0.01000000 4740236.00000000 9385.66796875
0.01100000 4729201.00000000 9363.81835938
0.01200000 4717166.00000000 13797.71093750
0.01300000 4704119.50000000 14817.97656250
0.01400000 4690110.50000000 13718.57324219
0.01500000 4675075.50000000 15708.25390625
0.01600000 4659080.00000000 13068.71972656
0.01700000 4642076.50000000 13786.96777344
0.01800000 4624159.00000000 15814.62500000
0.01900000 4605272.00000000 13815.81640625
0.02000000 4585464.50000000 25999.58593750
0.02100000 4564705.00000000 21088.93945312
0.02200000 4543053.00000000 15673.53417969
0.02300000 4520505.50000000 21155.96679688
0.02400000 4497069.00000000 21923.21093750
0.02500000 4472775.50000000 24421.35546875
0.02600000 4447619.00000000 25218.00000000
0.02700000 4421642.50000000 24142.16796875
0.02800000 4394846.50000000 21029.34179688
0.02900000 4367253.00000000 23583.16796875
0.03000000 4338872.00000000 22193.33203125
0.03100000 4309756.00000000 28961.56250000
0.03200000 4279852.00000000 23303.79492188
0.03300000 4249247.00000000 23838.27539062
0.03400000 4217944.00000000 22144.20703125
0.03500000 4185968.25000000 22604.22851562
0.03600000 4153308.25000000 25355.94921875
0.03700000 4119991.25000000 25832.34570312
0.03800000 4086060.50000000 28684.14648438
0.03900000 4051516.50000000 29170.91992188
0.04000000 4016384.25000000 39521.22265625
0.04100000 3980701.75000000 30094.10546875
0.04200000 3944459.25000000 25441.76367188
0.04300000 3907704.25000000 25790.84960938
0.04400000 3870440.00000000 31350.56640625
0.04500000 3832707.50000000 34379.38671875
0.04600000 3794513.00000000 40126.97656250
0.04700000 3755904.25000000 35155.26562500
0.04800000 3716861.00000000 32782.71484375
0.04900000 3677446.50000000 27580.84960938
0.05000000 3637644.00000000 41741.96484375
0.05100000 3597501.75000000 50508.92578125
0.05200000 3557044.25000000 28278.50195312
0.05300000 3516278.25000000 28481.85546875
0.05400000 3475235.50000000 31537.76367188
0.05500000 3433930.75000000 40383.02734375
0.05600000 3392377.25000000 31905.30859375
0.05700000 3350634.00000000 34980.62109375
0.05800000 3308676.50000000 43922.68359375
0.05900000 3266560.25000000 35278.85156250
0.06000000 3224282.75000000 35402.62500000
0.06100000 3181892.25000000 44387.39843750
0.06200000 3139376.50000000 47467.37500000
0.06300000 3096781.00000000 29729.09765625
0.06400000 3054113.25000000 29777.60546875
0.06500001 3011395.00000000 38756.65625000
0.06600000 2968653.75000000 32818.46875000
0.06700000 2925892.00000000 35812.91796875
0.06800000 2883162.50000000 38792.95312500
0.06900001 2840453.25000000 53684.57031250
0.07000000 2797789.50000000 32776.10546875
0.07100000 2755190.50000000 32731.66406250
0.07200000 2712670.50000000 29703.74414062
0.07300001 2670269.25000000 38531.98828125
0.07400000 2627980.75000000 47303.65234375
0.07500000 2585812.50000000 47165.22265625
0.07600001 2543826.00000000 38195.55078125
0.07700001 2501991.50000000 49764.61718750
0.07800000 2460351.25000000 32070.67968750
0.07900000 2418879.00000000 31929.20507812
0.08000001 2377656.25000000 31777.37890625
0.08100000 2336649.50000000 43111.18359375
0.08200000 2295897.00000000 34300.70312500
0.08300000 2255400.25000000 53994.28515625
0.08400001 2215156.50000000 33891.89843750
0.08500000 2175209.75000000 28060.20703125
0.08600000 2135566.00000000 39016.79296875
0.08700000 2096224.87500000 30437.18750000
0.08800001 2057178.87500000 27463.33984375
0.08900000 2018485.25000000 32699.46093750
0.09000000 1980133.87500000 40543.24218750
0.09100001 1942126.25000000 26801.34375000
0.09200001 1904482.25000000 31881.03515625
0.09300000 1867218.87500000 31593.34375000
0.09400000 1830312.62500000 31298.34765625
0.09500001 1793805.62500000 38746.20312500
0.09600000 1757687.12500000 35804.08593750
0.09700000 1721975.12500000 32906.94531250
0.09800000 1686672.87500000 25047.09375000
0.09900001 1651785.87500000 39642.86328125
0.10000000 1617322.50000000 26952.67968750
0.10100000 1583284.87500000 36336.39062500
0.10200001 1549676.62500000 43096.50781250
0.10300001 1516503.37500000 33120.43750000
0.10400000 1483773.87500000 25706.38281250
0.10500000 1451498.12500000 27694.58593750
0.10600001 1419660.50000000 36456.88281250
0.10700001 1388284.50000000 35984.33593750
0.10800000 1357361.62500000 26631.43554688
0.10900000 1326894.75000000 28461.89453125
0.11000001 1296890.12500000 28071.18945312
0.11100001 1267343.37500000 21291.37109375
0.11200000 1238264.50000000 25186.30078125
0.11300001 1209647.87500000 22753.47851562
0.11400001 1181494.37500000 26495.01367188
0.11500000 1153813.75000000 22083.99609375
0.11600000 1126596.50000000 23726.12304688
0.11700001 1099838.87500000 21413.86328125
0.11800001 1073540.87500000 21078.97656250
0.11900000 1047719.37500000 20744.84375000
0.12000000 1022354.50000000 22266.88281250
0.12100001 997451.00000000 20078.68945312
0.12200001 973006.56250000 25132.76171875
0.12300000 949020.37500000 28242.84765625
0.12400001 925483.37500000 22558.65820312
0.12500000 902402.00000000 22172.01757812
0.12600000 879775.62500000 23463.61718750
0.12700000 857593.87500000 18112.38281250
0.12800001 835853.81250000 19408.52734375
0.12900001 814551.50000000 15883.75488281
0.13000001 793690.50000000 20274.82617188
0.13100001 773258.37500000 16841.56835938
0.13200000 753257.12500000 19535.72265625
0.13300000 733683.12500000 19171.14062500
0.13400000 714525.62500000 14469.14453125
0.13500001 695790.31250000 21291.18359375
0.13600001 677458.00000000 20882.64453125
0.13700001 659541.00000000 16383.00000000
0.13800001 642019.37500000 13386.10546875
0.13900001 624901.25000000 24933.56250000
0.14000000 608168.81250000 15435.32421875
0.14100000 591828.93750000 15127.14746094
0.14200000 575869.93750000 19763.85742188
0.14300001 560286.81250000 14522.63476562
0.14400001 545072.93750000 13040.87109375
0.14500001 530228.93750000 12773.21582031
0.14600001 515742.46875000 18195.39648438
0.14700000 501612.59375000 12249.37988281
0.14800000 487830.00000000 17444.80078125
0.14900000 474390.68750000 13875.92773438
0.15000001 461289.96875000 12537.86230469
0.15100001 448522.03125000 13294.19335938
0.15200001 436082.21875000 12009.70507812
0.15300001 423961.50000000 14690.26757812
0.15400001 412151.78125000 15332.04785156
0.15500000 400656.06250000 10312.88671875
0.15600000 389460.62500000 11006.15722656
0.15700001 378567.34375000 12560.86523438
0.15800001 367959.84375000 8775.84277344
0.15900001 357642.15625000 9441.75390625
0.16000001 347603.71875000 10073.55664062
0.16100001 337844.96875000 10672.52343750
0.16200000 328350.34375000 10436.61523438
0.16300000 319122.34375000 8635.45117188
0.16400000 310150.93750000 7676.23583984
0.16500001 301433.43750000 10507.96972656
0.16600001 292961.03125000 7338.67431641
0.16700001 284731.53125000 15067.99316406
0.16800001 276738.90625000 10522.99804688
0.16900001 268979.28125000 8916.66406250
0.17000000 261442.84375000 8047.21093750
0.17100000 254127.78125000 8523.44628906
0.17200001 247027.37500000 8333.46875000
0.17300001 240138.81250000 9401.43457031
0.17400001 233456.48437500 6128.23291016
0.17500001 226973.90625000 7789.74511719
0.17600001 220685.46875000 7616.95947266
0.17700000 214592.50000000 6875.54394531
0.17800000 208681.85937500 6163.41894531
0.17900001 202954.18750000 7671.66845703
0.18000001 197403.26562500 5895.44873047
0.18100001 192028.51562500 7863.56787109
0.18200001 186817.39062500 5128.13769531
0.18300001 181771.31250000 6521.95507812
0.18400002 176884.56250000 8344.53027344
0.18500000 172155.07812500 7685.00292969
0.18600000 167574.92187500 5170.52441406
0.18700001 163143.75000000 5980.85009766
0.18800001 158853.84375000 4503.50683594
0.18900001 154706.73437500 4850.05615234
0.19000001 150690.93750000 5180.75488281
0.19100001 146812.35937500 6342.29443359
0.19200000 143057.40625000 6212.26806641
0.19300000 139431.20312500 4463.19287109
0.19400001 135924.56250000 3975.79345703
0.19500001 132536.67187500 3896.57836914
0.19600001 129260.85937500 4965.55615234
0.19700001 126098.78906250 4119.64746094
0.19800001 123043.29687500 3672.84277344
0.19900002 120095.35937500 4323.43310547
0.20000000 117247.39843750 3888.51000977
0.20100001 114499.22656250 3816.25927734
0.20200001 111846.58593750 4086.87451172
0.20300001 109288.60937500 4013.07788086
0.20400001 106819.87500000 3613.18237305
0.20500001 104440.44531250 3227.20996094
0.20600002 102144.76562500 4757.39257812
0.20700002 99932.67187500  5300.42919922
0.20800000 97799.31250000  3985.81103516
0.20900001 95748.82812500  3016.08813477
0.21000001 93768.53906250  4154.88427734
0.21100001 91863.05468750  3213.36987305
0.21200001 90028.89062500  3451.70776367
0.21300001 88262.20312500  3966.50366211
0.21400002 86562.85937500  3629.14819336
0.21500000 84929.10156250  3026.87329102
0.21600001 83356.32812500  3798.54785156
0.21700001 81844.96093750  3479.22949219
0.21800001 80391.39843750  3169.02905273
0.21900001 78993.01562500  2867.44653320
0.22000001 77650.60937500  2574.11791992
0.22100002 76363.03125000  3051.46704102
0.22200002 75125.75781250  3015.54809570
0.22300000 73938.32031250  2484.32763672
0.22400001 72796.91406250  3439.65429688
0.22500001 71705.57031250  2916.98266602
0.22600001 70655.97656250  2887.00341797
0.22700001 69652.39843750  2858.53466797
0.22800002 68689.19531250  2595.42138672
0.22900002 67765.85156250  2571.71435547
0.23000000 66882.92187500  3012.74121094
0.23100001 66038.82812500  2987.59667969
0.23200001 65228.32031250  2507.70288086
0.23300001 64455.25781250  3619.80737305
0.23400001 63716.68359375  2470.61450195
0.23500001 63007.65625000  2230.47119141
0.23600002 62332.50781250  2659.10498047
0.23700002 61687.64843750  3743.82373047
0.23800001 61072.27343750  3065.21752930
0.23900001 60483.87109375  3266.12915039
0.24000001 59923.49609375  2382.85791016
0.24100001 59390.68359375  2587.05834961
0.24200001 58882.53125000  2575.52197266
0.24300002 58397.23437500  2992.27441406
0.24400002 57935.80859375  3193.71166992
0.24500000 57497.02343750  2333.80419922
0.24600001 57080.19921875  2537.78564453
0.24700001 56683.42187500  2319.48559570
0.24800001 56306.93750000  2313.37060547
0.24900001 55948.24218750  2517.67114258
0.25000000 55608.69921875  2303.03417969
0.25100002 55285.76171875  3343.68310547
0.25200000 54981.39843750  2503.85302734
