# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4793003.00000000 1006.53063965
0.00100000 4792480.50000000 1581.51855469
0.00200000 4790899.50000000 2371.49536133
0.00300000 4788283.00000000 3447.56372070
0.00400000 4784629.00000000 4306.16650391
0.00500000 4779957.00000000 5162.35400391
0.00600000 4774225.00000000 5012.93652344
0.00700000 4767507.50000000 5721.00927734
0.00800000 4759723.00000000 7710.75146484
0.00900000 4750917.00000000 9264.28906250
0.01000000 4741070.50000000 9387.32031250
0.01100000 4730225.50000000 9365.84765625
0.01200000 4718396.00000000 13801.30859375
0.01300000 4705554.00000000 14822.49511719
0.01400000 4691756.00000000 13723.38671875
0.01500000 4676976.50000000 15714.64160156
0.01600000 4661216.00000000 13074.71191406
0.01700000 4644524.50000000 13794.23828125
0.01800000 4626869.00000000 15823.89257812
0.01900000 4608307.00000000 13824.92187500
0.02000000 4588831.00000000 26018.67382812
0.02100000 4568401.00000000 21106.01367188
0.02200000 4547120.00000000 15687.56542969
0.02300000 4524923.50000000 21176.64453125
0.02400000 4501869.00000000 21946.61132812
0.02500000 4477993.50000000 24449.84570312
0.02600000 4453252.00000000 25249.93945312
0.02700000 4427707.50000000 24175.28320312
0.02800000 4401368.00000000 21060.54687500
0.02900000 4374253.00000000 23620.96679688
0.03000000 4346361.50000000 22231.64062500
0.03100000 4317698.50000000 29014.93554688
0.03200000 4288324.50000000 23349.92773438
0.03300000 4258240.00000000 23888.72656250
0.03400000 4227469.00000000 22194.21289062
0.03500000 4196034.50000000 22658.58593750
0.03600000 4163954.50000000 25420.94335938
0.03700000 4131233.00000000 25902.83203125
0.03800000 4097877.25000000 28767.09960938
0.03900000 4063932.75000000 29260.31640625
0.04000000 4029420.00000000 39649.49609375
0.04100000 3994348.25000000 30197.27343750
0.04200000 3958758.75000000 25533.99609375
0.04300000 3922634.25000000 25889.38671875
0.04400000 3886041.00000000 31476.93359375
0.04500000 3848982.75000000 34525.37500000
0.04600000 3811472.50000000 40306.32421875
0.04700000 3773537.25000000 35320.30859375
0.04800000 3735192.50000000 32944.39843750
