# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4792986.00000000 1006.52703857
0.00100000 4792498.50000000 1581.52453613
0.00200000 4791088.50000000 2371.58886719
0.00300000 4788672.50000000 3447.84423828
0.00400000 4785330.50000000 4306.79785156
0.00500000 4781044.50000000 5163.52832031
0.00600000 4775788.50000000 5014.57812500
0.00700000 4769602.00000000 5723.52246094
0.00800000 4762498.00000000 7715.24707031
0.00900000 4754413.00000000 9271.10546875
0.01000000 4745419.00000000 9395.93066406
0.01100000 4735480.00000000 9376.25097656
0.01200000 4724608.00000000 13819.47851562
0.01300000 4712835.00000000 14845.43066406
0.01400000 4700138.00000000 13747.90429688
0.01500000 4686552.00000000 15746.81542969
0.01600000 4672059.50000000 13105.12792969
0.01700000 4656673.50000000 13830.32128906
0.01800000 4640432.50000000 15870.28027344
0.01900000 4623302.50000000 13869.90820312
0.02000000 4605313.00000000 26112.12695312
0.02100000 4586495.00000000 21189.60937500
0.02200000 4566816.50000000 15755.51855469
0.02300000 4546318.50000000 21276.77148438
0.02400000 4524982.50000000 22059.28906250
0.02500000 4502863.00000000 24585.63281250
0.02600000 4479921.00000000 25401.15234375
0.02700000 4456218.50000000 24330.95312500
0.02800000 4431739.50000000 21205.87500000
0.02900000 4406502.50000000 23795.11523438
0.03000000 4380525.00000000 22406.38671875
0.03100000 4353828.00000000 29257.72460938
0.03200000 4326416.00000000 23557.33593750
0.03300000 4298294.50000000 24113.43164062
0.03400000 4269504.00000000 22414.89648438
0.03500000 4240047.50000000 22896.25585938
0.03600000 4209920.00000000 25701.56250000
0.03700000 4179163.25000000 26203.35351562
0.03800000 4147790.00000000 29117.48828125
0.03900000 4115803.25000000 29633.78320312
0.04000000 4083250.75000000 40179.19140625
0.04100000 4050121.75000000 30618.92187500
0.04200000 4016429.00000000 25905.96875000
0.04300000 3982196.25000000 26282.49609375
0.04400000 3947455.00000000 31974.38867188
0.04500000 3912216.75000000 35092.58593750
0.04600000 3876489.25000000 40993.87890625
0.04700000 3840303.50000000 35945.24218750
0.04800000 3803666.75000000 33548.33984375
0.04900000 3766608.75000000 28249.56640625
0.05000000 3729124.75000000 42791.70703125
0.05100000 3691269.50000000 51825.42578125
0.05200000 3653022.00000000 29041.52539062
0.05300000 3614427.25000000 29276.86328125
0.05400000 3575489.50000000 32447.56835938
0.05500000 3536255.50000000 41586.36718750
0.05600000 3496708.50000000 32886.54296875
0.05700000 3456887.25000000 36089.90625000
0.05800000 3416804.75000000 45358.08593750
0.05900000 3376470.25000000 36465.88281250
0.06000000 3335916.25000000 36628.36328125
0.06100000 3295164.00000000 45967.54296875
0.06200000 3254229.00000000 49203.94531250
0.06300000 3213109.25000000 30845.84960938
0.06400000 3171844.50000000 30925.48437500
0.06500001 3130456.25000000 40288.97656250
