# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4792997.50000000 1006.52947998
0.00100000 4792467.50000000 1581.51428223
0.00200000 4790899.50000000 2371.49536133
0.00300000 4788223.50000000 3447.52099609
0.00400000 4784536.00000000 4306.08251953
0.00500000 4779764.00000000 5162.14550781
0.00600000 4773978.50000000 5012.67724609
0.00700000 4767128.00000000 5720.55371094
0.00800000 4759250.00000000 7709.98535156
0.00900000 4750329.00000000 9263.14160156
0.01000000 4740335.00000000 9385.86425781
0.01100000 4729341.50000000 9364.09667969
0.01200000 4717344.50000000 13798.23242188
0.01300000 4704352.00000000 14818.70898438
0.01400000 4690338.50000000 13719.24023438
0.01500000 4675361.50000000 15709.21484375
0.01600000 4659355.00000000 13069.49121094
0.01700000 4642431.50000000 13788.02246094
0.01800000 4624508.00000000 15815.81835938
0.01900000 4605648.50000000 13816.94628906
0.02000000 4585895.50000000 26002.02929688
0.02100000 4565180.00000000 21091.13281250
0.02200000 4543576.00000000 15675.33886719
0.02300000 4521078.00000000 21158.64648438
0.02400000 4497682.50000000 21926.20312500
0.02500000 4473414.50000000 24424.84375000
0.02600000 4448287.00000000 25221.78710938
0.02700000 4422352.50000000 24146.04492188
0.02800000 4395614.50000000 21033.01562500
0.02900000 4368069.00000000 23587.57421875
0.03000000 4339724.00000000 22197.68945312
0.03100000 4310656.50000000 28967.61328125
0.03200000 4280820.50000000 23309.06835938
0.03300000 4250220.50000000 23843.73632812
0.03400000 4218963.00000000 22149.55664062
0.03500000 4187028.00000000 22609.95117188
0.03600000 4154399.25000000 25362.60937500
0.03700000 4121134.75000000 25839.51562500
0.03800000 4087215.25000000 28692.25195312
0.03900000 4052706.25000000 29179.48632812
0.04000000 4017601.50000000 39533.20312500
0.04100000 3981930.75000000 30103.39648438
0.04200000 3945713.50000000 25449.85351562
0.04300000 3908988.00000000 25799.32226562
0.04400000 3871744.25000000 31361.13085938
0.04500000 3834036.25000000 34391.30468750
0.04600000 3795849.00000000 40141.10546875
0.04700000 3757239.75000000 35167.76562500
0.04800000 3718220.50000000 32794.70703125
0.04900000 3678792.50000000 27590.94531250
0.05000000 3639003.75000000 41757.57031250
0.05100000 3598869.00000000 50528.12500000
0.05200000 3558380.50000000 28289.12500000
0.05300000 3517619.25000000 28492.71679688
0.05400000 3476565.25000000 31549.83007812
0.05500000 3435237.75000000 40398.39843750
0.05600000 3393671.75000000 31917.48437500
0.05700000 3351890.00000000 34993.73437500
